Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,-1.0,4
CS100,Tin đại cương,6.2,2
CS102,Công dân số,7.2,2
CS121,Ngôn ngữ lập trình,6.1,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,6.4,2
GE102,Tiếng Anh sơ cấp 2,5.0,2
GE103,Tiếng Anh sơ cấp 3,-1.0,2
GJ101,Tiếng Nhật 1,5.5,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.2,3
MA104,Số và cấu trúc đại số,-1.0,3
ML113,Triết học Mác - Lênin,8.5,3
ML114,Kinh tế chính trị Mác - Lênin,5.6,2
ML115,Chủ nghĩa xã hội khoa học,6.9,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,7.6,2
PG110,GDTC: Bơi cơ bản,5.4,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,7.7,4
SC201,Kỹ năng giao tiếp và thuyết trình,-1.0,2
SH131,Pháp luật đại cương,7.7,2
VL101,Tiếng Việt thực hành,7.4,2
CS110,Kỹ thuật số,8.3,2
CS212,Kiến trúc máy tính,0.0,3
IS222,Cơ sở dữ liệu,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.8,3
MI201,Toán rời rạc,-1.0,3
