Mã HP,Tên HP,Điểm,Số TC
CF212B,Cấu trúc dữ liệu 2,0.0,2
CS100A,Nhập môn khoa học máy tính,6.5,2
CS121,Ngôn ngữ lập trình,8.5,3
CS122,Lập trình hướng đối tượng,5.1,3
CS212A,Kiến trúc máy tính 1,5.5,2
CS311A,Hợp ngữ,7.0,2
EC102,Nhập môn kinh tế học,2.6,2
GE100,Tiếng Anh cho người mới bắt đầu,8.0,2
GE101A,Tiếng Anh sơ cấp 1,7.0,2
GE102A,Tiếng Anh sơ cấp 2,6.0,2
GE201A,Tiếng Anh sơ trung cấp 1,7.3,2
GE202A,Tiếng Anh sơ trung cấp 2,7.6,2
GF101,Tiếng Pháp 1,9.3,2
GF102,Tiếng Pháp 2,6.8,2
GI101,Tiếng Ý 1,6.5,2
IS223A,Cơ sở dữ liệu 2,5.0,2
IS322E,Hệ quản trị cơ sở dữ liệu,0.0,4
MA100A,Toán 1,5.0,2
MA110A,Giải tích 1A,0.0,2
MA111A,Giải tích 2A,2.0,2
MA120A,Đại số tuyến tính 1,4.0,2
ML111,Triết học Mác – Lênin,7.8,2
ML112B,Chủ nghĩa xã hội khoa học,6.0,2
NA151,Khoa học môi trường,8.0,2
NW312A,Thiết kế quản trị mạng,7.2,4
NW322A,Lập trình mạng,0.0,4
PG101,GDTC: Lý thuyết,5.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,6.7,1
PG106,GDTC: Bóng bàn cơ bản,8.3,1
PG121,Giáo dục quốc phòng,6.8,4
SH131,Pháp luật đại cương,6.0,2
AD211,Văn hóa Hà Nội,-1.0,2
CF201,Lý thuyết thuật toán,6.0,3
CF212A,Cấu trúc dữ liệu 1,0.0,2
CS110,Kỹ thuật số,5.2,2
CS223,Lập trình Java,5.0,3
CS224,Lập trình .Net,7.0,3
CS315,Nguyên lý hệ điều hành,8.0,3
CS316,Hệ điều hành Unix,5.5,3
CS324,Kỹ thuật lập trình,0.0,2
IS222,Cơ sở dữ liệu,6.7,3
IS332,Phân tích thiết kế hướng đối tượng,6.8,3
IS333,Phân tích thiết kế hệ thống thông tin,8.5,2
MA212,Phương trình vi phân,0.0,2
MA222,Đại số đại cương,5.6,2
MA231,Xác suất thống kê ứng dụng,0.3,4
MI201,Toán rời rạc,7.3,3
MI312,Đồ họa,7.0,2
MI414,Giao diện người máy,0.0,2
NW212,Mạng máy tính,6.0,2
NW332A,An toàn mạng,7.3,4
PE201,Tiếng Anh trong tin học 1A,8.7,2
PE302,Tiếng Anh trong tin học 1B,6.3,2
SE302,Công nghệ phần mềm,5.0,2
SE487,CĐTN: Phát triển phần mềm,-1.0,6
