Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC101,Kinh tế học đại cương,-1.0,3
GE101,Tiếng Anh sơ cấp 1,-1.0,2
GF101,Tiếng Pháp 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,2.4,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
NA151,Khoa học môi trường,-1.0,2
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,5.7,2
VL101,Tiếng Việt thực hành,3.5,2
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,-1.0,3
