Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,7.6,2
CS100,Tin đại cương,6.9,2
CS102,Công dân số,8.3,2
CS121,Ngôn ngữ lập trình,4.1,3
CS122,Lập trình hướng đối tượng,4.4,3
EC102,Nhập môn kinh tế học,8.0,2
GE101,Tiếng Anh sơ cấp 1,6.7,2
GE102,Tiếng Anh sơ cấp 2,6.4,2
GJ101,Tiếng Nhật 1,8.7,2
IS325,Cơ sở dữ liệu phân tán,5.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.0,3
MA104,Số và cấu trúc đại số,6.0,3
ML113,Triết học Mác - Lênin,9.2,3
ML114,Kinh tế chính trị Mác - Lênin,6.7,2
ML115,Chủ nghĩa xã hội khoa học,7.6,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,0.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,5.3,1
PG106,GDTC: Bóng bàn cơ bản,3.6,1
PG110,GDTC: Bơi cơ bản,8.6,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG121,Giáo dục quốc phòng,5.8,4
SH131,Pháp luật đại cương,8.1,2
VL101,Tiếng Việt thực hành,7.7,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,-1.0,3
CF212,Cấu trúc dữ liệu,-1.0,3
CF301,Ngôn ngữ hình thức và Otomat,0.0,3
CS110,Kỹ thuật số,8.8,2
CS212,Kiến trúc máy tính,7.8,3
CS315,Nguyên lý hệ điều hành,6.4,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
CS425,Một số vấn đề hiện đại trong khoa học máy tính,-1.0,2
IM206,ứng dụng Excel,-1.0,2
IS222,Cơ sở dữ liệu,6.6,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.9,3
MA231,Xác suất thống kê ứng dụng,4.0,4
MI201,Toán rời rạc,0.0,3
NW212,Mạng máy tính,4.6,2
