Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.6,2
CS102,Công dân số,-1.0,2
CS121,Ngôn ngữ lập trình,0.0,3
CS122,Lập trình hướng đối tượng,0.0,3
CS212,Kiến trúc máy tính,3.7,3
GE111,Tiếng Anh sơ cấp 1,6.4,2
GE112,Tiếng Anh sơ cấp 2,5.7,2
GE121,Tiếng Anh sơ trung cấp 1,5.1,2
GE222,Tiếng Anh sơ trung cấp 2,4.4,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GZ101,Tiếng Trung 1,0.0,2
IS222,Cơ sở dữ liệu,4.2,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.0,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,0.0,3
ML113,Triết học Mác - Lênin,8.6,3
ML114,Kinh tế chính trị Mác - Lênin,0.0,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,8.2,2
PG110,GDTC: Bơi cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,0.0,1
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,5.0,2
AI130,Nhập môn trí tuệ nhân tạo,-1.0,3
