Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CS100,Tin đại cương,6.2,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,1.4,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC101,Kinh tế học đại cương,4.5,3
GE101,Tiếng Anh sơ cấp 1,6.9,2
GE102,Tiếng Anh sơ cấp 2,5.5,2
GE103,Tiếng Anh sơ cấp 3,4.4,2
GE201,Tiếng Anh sơ trung cấp 1,4.0,2
GJ101,Tiếng Nhật 1,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.4,3
MA104,Số và cấu trúc đại số,3.1,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.6,3
ML202,Tư tưởng Hồ Chí Minh,10.0,2
SH131,Pháp luật đại cương,2.7,2
AD312,Bóng đá,-1.0,4
