Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS121,Ngôn ngữ lập trình,5.4,3
CS122,Lập trình hướng đối tượng,4.0,3
EC102,Nhập môn kinh tế học,6.9,2
GE100,Tiếng Anh cho người mới bắt đầu,5.4,2
GE101A,Tiếng Anh sơ cấp 1,5.5,2
GE102A,Tiếng Anh sơ cấp 2,7.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.3,2
GE202A,Tiếng Anh sơ trung cấp 2,5.8,2
GE203,Kỹ năng giao tiếp tiếng Anh 1,-1.0,2
GZ101,Tiếng Trung 1,7.7,2
GZ102,Tiếng Trung 2,1.4,2
IM201,Kỹ năng soạn thảo VB (MS office),-1.0,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.6,3
MA103,Số và cấu trúc đại số,5.9,2
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.5,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.5,3
NA151,Khoa học môi trường,8.1,2
PG100,Giáo dục thể chất,8.0,4
PG122,GDQP: Đường lối quân sự của Đảng,3.6,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.3,1
PG124,GDQP: Quân sự chung,5.6,1
PG125,GDQP: Kỹ thuật bắn súng,5.6,1
SH131,Pháp luật đại cương,6.6,2
VL101,Tiếng Việt thực hành,6.6,2
CF212,Cấu trúc dữ liệu,1.2,3
CS110,Kỹ thuật số,6.0,2
CS212,Kiến trúc máy tính,-1.0,3
MA110,Giải tích 1,5.7,3
MA111,Giải tích 2,3.3,3
MA120,Đại số tuyến tính,5.6,3
MA231,Xác suất thống kê ứng dụng,3.4,4
MI201,Toán rời rạc,5.1,3
PE303,Tiếng Anh trong tin học 2A,5.6,2
PE404,Tiếng Anh trong tin học 2B,-1.0,2
SM201,Phương pháp luận nghiên cứu khoa học,9.5,3
