Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.3,2
CS102,Công dân số,5.4,2
CS110,Kỹ thuật số,7.7,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,4.9,3
CS212,Kiến trúc máy tính,4.5,3
EC102,Nhập môn kinh tế học,9.0,2
GE101,Tiếng Anh sơ cấp 1,6.2,2
GE102,Tiếng Anh sơ cấp 2,4.9,2
GE103,Tiếng Anh sơ cấp 3,4.7,2
GE121,Tiếng Anh sơ trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,3.6,2
IS222,Cơ sở dữ liệu,7.0,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,4.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.7,3
MA104,Số và cấu trúc đại số,3.4,3
MA110,Giải tích 1,2.7,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,6.2,3
MA239,Xác suất thống kê,0.0,4
MI201,Toán rời rạc,6.0,3
ML113,Triết học Mác - Lênin,6.6,3
ML114,Kinh tế chính trị Mác - Lênin,5.4,2
ML115,Chủ nghĩa xã hội khoa học,7.4,2
ML202,Tư tưởng Hồ Chí Minh,8.3,2
ML204,Lịch sử Đảng,6.2,2
NA151,Khoa học môi trường,9.1,2
NW212,Mạng máy tính,4.6,2
PG106,GDTC: Bóng bàn cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,9.3,1
SH131,Pháp luật đại cương,2.6,2
VL101,Tiếng Việt thực hành,8.2,2
AD312,Bóng đá,9.0,4
CS314,Lập trình ứng dụng di động,0.0,2
CS315,Nguyên lý hệ điều hành,0.0,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
