Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,8.3,2
CS100,Tin đại cương,6.1,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,5.5,3
EC102,Nhập môn kinh tế học,5.7,2
GE100,Tiếng Anh cho người mới bắt đầu,6.9,2
GE101A,Tiếng Anh sơ cấp 1,7.3,2
GE102A,Tiếng Anh sơ cấp 2,6.9,2
GE201A,Tiếng Anh sơ trung cấp 1,5.7,2
GE202A,Tiếng Anh sơ trung cấp 2,4.3,2
GE203,Kỹ năng giao tiếp tiếng Anh 1,5.6,2
GF101,Tiếng Pháp 1,1.5,2
GF102,Tiếng Pháp 2,-1.0,2
GJ102,Tiếng Nhật 2,-1.0,2
IM201,Kỹ năng soạn thảo VB (MS office),9.5,3
IS314,Hệ thống thông tin,1.8,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.7,3
MA103,Số và cấu trúc đại số,2.4,2
ML111,Triết học Mác – Lênin,7.7,2
ML112,Kinh tế chính trị và CNXH khoa học,5.8,3
ML202,Tư tưởng Hồ Chí Minh,8.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,7.8,2
PE304,Tiếng Anh trong tin học 1,5.0,2
PE305,Tiếng Anh trong tin học 2,-1.0,2
PG100,Giáo dục thể chất,6.3,4
PG122,GDQP: Đường lối quân sự của Đảng,1.5,1
PG123,GDQP: Công tác quốc phòng - an ninh,1.5,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.6,1
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,6.7,3
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,5.3,2
AD314,Nhảy hiện đại,8.5,4
CF212,Cấu trúc dữ liệu,3.0,3
CF301,Ngôn ngữ hình thức và Otomat,2.1,3
CS110,Kỹ thuật số,7.8,2
CS212,Kiến trúc máy tính,1.2,3
CS315,Nguyên lý hệ điều hành,7.4,3
IS222,Cơ sở dữ liệu,6.8,3
IS322,Hệ quản trị cơ sở dữ liệu,4.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.7,3
MA110,Giải tích 1,5.1,3
MA111,Giải tích 2,1.6,3
MA120,Đại số tuyến tính,6.1,3
MA231,Xác suất thống kê ứng dụng,5.8,4
MI201,Toán rời rạc,1.8,3
MI312,Đồ họa,1.8,2
MI321,Trí tuệ nhân tạo,8.3,3
NW212,Mạng máy tính,4.4,2
SE302,Công nghệ phần mềm,7.0,2
SE380,Project,-1.0,3
SE422,Quản lý dự án phần mềm,7.7,3
SM201,Phương pháp luận nghiên cứu khoa học,6.1,3
