Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,0.0,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,0.0,3
EC102,Nhập môn kinh tế học,7.6,2
GE111,Tiếng Anh sơ cấp 1,5.6,2
GZ101,Tiếng Trung 1,0.0,2
GZ102,Tiếng Trung 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.2,3
MA104,Số và cấu trúc đại số,0.0,3
MA120,Đại số tuyến tính,0.0,3
ML113,Triết học Mác - Lênin,8.5,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,8.9,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,7.2,2
NA151,Khoa học môi trường,8.0,2
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,7.2,1
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,7.5,2
