Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.0,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,5.0,3
EC101,Kinh tế học đại cương,5.1,3
FN201A,Lý thuyết tài chính tiền tệ,6.0,2
GE100,Tiếng Anh cho người mới bắt đầu,7.9,2
GE101A,Tiếng Anh sơ cấp 1,7.2,2
GE102A,Tiếng Anh sơ cấp 2,5.7,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.5,2
GF101,Tiếng Pháp 1,6.4,2
GF102,Tiếng Pháp 2,5.3,2
IS101,Tin văn phòng,6.7,3
MA102,Toán cơ sở,5.2,3
ML111,Triết học Mác – Lênin,7.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.7,3
ML202,Tư tưởng Hồ Chí Minh,9.5,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.0,2
PG100,Giáo dục thể chất,8.0,4
PG121,Giáo dục quốc phòng,6.9,4
SC201,Kỹ năng giao tiếp và thuyết trình,7.9,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,6.9,3
SH131,Pháp luật đại cương,8.0,2
AC201,Nguyên lý kế toán,5.1,3
AC210,Kế toán doanh nghiệp,5.0,3
BA101,Quản trị học,5.0,2
BA313,Quản trị chiến lược,7.4,3
BK201,Ngân hàng thương mại 1,5.4,3
CS110,Kỹ thuật số,5.0,2
CS224,Lập trình .Net,0.0,3
CS316,Hệ điều hành Unix,5.5,3
EC202,Kinh tế vi mô,5.2,2
EC203,Kinh tế vĩ mô,7.3,2
FN211D,Nhập môn tài chính doanh nghiệp,7.0,2
FN221,Tài chính công,6.0,2
IS222,Cơ sở dữ liệu,5.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,5.5,3
IS333,Phân tích thiết kế hệ thống thông tin,7.0,2
IS382,Công nghệ thông tin trong doanh nghiệp,6.7,2
IS487,CĐTN: Hệ thống thông tin quản lý,0.0,6
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",5.0,4
MA212,Phương trình vi phân,0.0,2
MA231,Xác suất thống kê ứng dụng,5.1,4
MA241,Toán tài chính,5.2,2
MK201,Nguyên lý marketing,7.2,2
MK311,Quản trị Marketing,6.8,3
MK331,Marketing ngân hàng,7.8,2
MK423,Quan hệ cộng đồng,8.8,2
PE221,Tiếng Anh doanh nghiệp 1A,6.2,2
PE322,Tiếng Anh doanh nghiệp 1B,6.3,2
PE323,Tiếng Anh doanh nghiệp 2A,5.0,2
PE424,Tiếng Anh doanh nghiệp 2B,6.4,2
SE302,Công nghệ phần mềm,7.1,2
SM201,Phương pháp luận nghiên cứu khoa học,7.3,3
