Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,8.5,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,0.0,3
CS212A,Kiến trúc máy tính 1,5.0,2
CS311A,Hợp ngữ,2.0,2
EC101,Kinh tế học đại cương,-1.0,3
GE100,Tiếng Anh cho người mới bắt đầu,6.8,2
GE101A,Tiếng Anh sơ cấp 1,5.4,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.4,2
GE202A,Tiếng Anh sơ trung cấp 2,5.3,2
GF101,Tiếng Pháp 1,5.8,2
GF102,Tiếng Pháp 2,5.1,2
IS223A,Cơ sở dữ liệu 2,0.0,2
MA100A,Toán 1,6.0,2
MA110A,Giải tích 1A,5.5,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,7.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,5.5,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.8,3
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,7.0,1
PG104,GDTC: Cầu lông cơ bản,7.5,1
PG106,GDTC: Bóng bàn cơ bản,7.0,1
PG121,Giáo dục quốc phòng,6.8,4
SH131,Pháp luật đại cương,5.5,2
AD211,Văn hóa Hà Nội,5.6,2
CF201,Lý thuyết thuật toán,0.0,3
CF212,Cấu trúc dữ liệu,1.0,3
CS110,Kỹ thuật số,5.7,2
CS212A,Kiến trúc máy tính 1,5.0,2
CS224,Lập trình .Net,3.0,3
CS315,Nguyên lý hệ điều hành,6.0,3
CS325,Lập trình PHP,0.3,3
IS222,Cơ sở dữ liệu,5.0,3
IS223A,Cơ sở dữ liệu 2,0.0,2
IS332,Phân tích thiết kế hướng đối tượng,5.0,3
IS333,Phân tích thiết kế hệ thống thông tin,9.0,2
IS424A,Lập trình cơ sở dữ liệu 1,5.0,4
MA110A,Giải tích 1A,5.5,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,0.0,2
MA212,Phương trình vi phân,0.0,2
MA231,Xác suất thống kê ứng dụng,3.2,4
MI201,Toán rời rạc,1.5,3
MI312,Đồ họa,6.0,2
MK201,Nguyên lý marketing,6.0,2
NW212,Mạng máy tính,3.0,2
PE201,Tiếng Anh trong tin học 1A,6.4,2
PE302,Tiếng Anh trong tin học 1B,5.0,2
SE302,Công nghệ phần mềm,5.0,2
SE487,CĐTN: Phát triển phần mềm,-1.0,6
