Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,7.1,2
CS102,Công dân số,9.5,2
CS121,Ngôn ngữ lập trình,5.6,3
CS122,Lập trình hướng đối tượng,0.0,3
GE101,Tiếng Anh sơ cấp 1,7.8,2
GE102,Tiếng Anh sơ cấp 2,7.3,2
GE103,Tiếng Anh sơ cấp 3,5.5,2
GE201,Tiếng Anh sơ trung cấp 1,5.6,2
GE202,Tiếng Anh sơ trung cấp 2,5.8,2
GE205,Tiếng Anh sơ trung cấp 3,4.7,2
GE231,Tiếng Anh trung cấp 1,5.4,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,9.1,2
GJ102,Tiếng Nhật 2,7.1,2
IS314,Hệ thống thông tin,8.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.2,3
MA104,Số và cấu trúc đại số,3.1,3
MA239,Xác suất thống kê,6.0,4
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML115,Chủ nghĩa xã hội khoa học,7.5,2
ML202,Tư tưởng Hồ Chí Minh,4.0,2
ML204,Lịch sử Đảng,4.0,2
NA151,Khoa học môi trường,8.7,2
PG100,Giáo dục thể chất,7.4,4
PG121,Giáo dục quốc phòng,7.2,4
SH131,Pháp luật đại cương,9.3,2
VL101,Tiếng Việt thực hành,7.6,2
AD241,Dẫn chương trình (MC),9.4,3
AD314,Nhảy hiện đại,8.6,4
CF212,Cấu trúc dữ liệu,3.5,3
CF301,Ngôn ngữ hình thức và Otomat,0.0,3
CS110,Kỹ thuật số,8.9,2
CS212,Kiến trúc máy tính,0.0,3
CS315,Nguyên lý hệ điều hành,9.0,3
IS222,Cơ sở dữ liệu,5.8,3
IS322,Hệ quản trị cơ sở dữ liệu,4.4,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
MA110,Giải tích 1,6.0,3
MA111,Giải tích 2,6.2,3
MA120,Đại số tuyến tính,5.5,3
MI201,Toán rời rạc,8.3,3
NW212,Mạng máy tính,6.5,2
