Mã HP,Tên HP,Điểm,Số TC
CF320,Tín hiệu và hệ thống,8.5,3
CS100,Tin đại cương,5.7,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,6.8,3
EC102,Nhập môn kinh tế học,4.0,2
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,7.4,2
GE103,Tiếng Anh sơ cấp 3,7.9,2
GE201,Tiếng Anh sơ trung cấp 1,7.1,2
GE202,Tiếng Anh sơ trung cấp 2,6.6,2
GE205,Tiếng Anh sơ trung cấp 3,7.7,2
GE301,Tiếng Anh trung cấp 1,6.7,2
GE303,Tiếng Anh trung cấp 2,7.0,2
GE305,Tiếng Anh trung cấp 3,7.4,2
GJ101,Tiếng Nhật 1,9.2,2
GJ102,Tiếng Nhật 2,9.4,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),5.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.4,3
MA103,Số và cấu trúc đại số,2.4,2
MA104,Số và cấu trúc đại số,2.7,3
MA300,Toán chuyên ngành truyền thông dữ liệu,4.0,3
ML111,Triết học Mác – Lênin,6.1,2
ML112,Kinh tế chính trị và CNXH khoa học,5.2,3
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.5,3
ML204,Lịch sử Đảng,9.0,2
NA151,Khoa học môi trường,6.8,2
PG100,Giáo dục thể chất,6.6,4
PG122,GDQP: Đường lối quân sự của Đảng,1.8,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.3,1
PG124,GDQP: Quân sự chung,6.4,1
PG125,GDQP: Kỹ thuật bắn súng,6.4,1
SH131,Pháp luật đại cương,5.2,2
TC300,Mô hình hóa và mô phỏng,8.0,3
TC303,Thiết kế và quản trị truyền thông,4.3,3
TC313,Kỹ thuật truyền dẫn,5.2,3
TC316,An ninh mạng truyền thông,8.2,3
TC418,Lập trình nhúng,7.8,2
TC420,Thiết kế hệ thống mạng truyền thông,6.1,2
TC473,Quản lý mạng viễn thông,7.5,3
VL101,Tiếng Việt thực hành,7.5,2
AD215,Ứng dụng PowerPoint,6.7,3
CF212,Cấu trúc dữ liệu,5.6,3
CF231,Lý thuyết thông tin và mã hóa,3.6,2
CF321,Xử lý tín hiệu số,2.9,3
CS110,Kỹ thuật số,4.4,2
CS212,Kiến trúc máy tính,5.6,3
CS223,Lập trình Java,5.1,3
CS315,Nguyên lý hệ điều hành,6.7,3
IP402,TT ngành Truyền thông và mạng máy tính,0.0,2
IS222,Cơ sở dữ liệu,5.2,3
MA110,Giải tích 1,6.2,3
MA111,Giải tích 2,4.9,3
MA120,Đại số tuyến tính,6.1,3
MA231,Xác suất thống kê ứng dụng,5.2,4
MI201,Toán rời rạc,5.0,3
NW212,Mạng máy tính,5.6,2
TC314,Kỹ thuật kết nối mạng,6.4,3
TC425,Lập trình ứng dụng IOT,8.0,2
TC433,Quản lý dự án truyền thông và mạng máy tính,7.7,2
TC487,CĐTN : Truyền thông và mạng máy tính,0.0,6
