Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.9,2
CS102,Công dân số,4.9,2
CS121,Ngôn ngữ lập trình,4.1,3
CS122,Lập trình hướng đối tượng,8.0,3
EC102,Nhập môn kinh tế học,8.6,2
GE101,Tiếng Anh sơ cấp 1,5.2,2
GE102,Tiếng Anh sơ cấp 2,4.3,2
GE103,Tiếng Anh sơ cấp 3,6.6,2
GE201,Tiếng Anh sơ trung cấp 1,6.3,2
GE202,Tiếng Anh sơ trung cấp 2,6.4,2
GE205,Tiếng Anh sơ trung cấp 3,4.9,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GF101,Tiếng Pháp 1,6.2,2
GJ101,Tiếng Nhật 1,6.5,2
GJ102,Tiếng Nhật 2,3.6,2
IS317,Hạ tầng công nghệ thông tin,8.6,2
IS325,Cơ sở dữ liệu phân tán,6.5,2
IS345,An toàn thông tin,2.2,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.3,3
MA104,Số và cấu trúc đại số,1.9,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,8.9,2
ML202,Tư tưởng Hồ Chí Minh,9.3,2
ML204,Lịch sử Đảng,9.6,2
NA151,Khoa học môi trường,9.0,2
PG100,Giáo dục thể chất,7.7,4
PG121,Giáo dục quốc phòng,5.8,4
SH131,Pháp luật đại cương,7.4,2
VL101,Tiếng Việt thực hành,6.9,2
AD216,Kỹ năng sống,10.0,3
AD241,Dẫn chương trình (MC),9.0,3
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,5.2,2
CS212,Kiến trúc máy tính,4.0,3
CS315,Nguyên lý hệ điều hành,8.0,3
IP408,Thực tập tốt nghiệp ngành Hệ thống thông tin,0.0,3
IS222,Cơ sở dữ liệu,1.2,3
IS314,Hệ thống thông tin,7.2,3
IS322,Hệ quản trị cơ sở dữ liệu,5.4,3
IS326,Khai phá dữ liệu,4.7,3
IS327,Kho dữ liệu,2.7,3
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
IS334,Quản lý dự án hệ thống thông tin,6.9,3
IT333,Công nghệ Web,2.2,3
MA110,Giải tích 1,7.7,3
MA111,Giải tích 2,2.1,3
MA120,Đại số tuyến tính,6.1,3
MA231,Xác suất thống kê ứng dụng,4.9,4
MI201,Toán rời rạc,4.6,3
NW212,Mạng máy tính,6.0,2
