Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.7,2
CS102,Công dân số,-1.0,2
CS121,Ngôn ngữ lập trình,-1.0,3
GE111,Tiếng Anh sơ cấp 1,7.2,2
GE112,Tiếng Anh sơ cấp 2,7.1,2
GE121,Tiếng Anh sơ trung cấp 1,6.2,2
GE222,Tiếng Anh sơ trung cấp 2,5.3,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.8,3
MA104,Số và cấu trúc đại số,-1.0,3
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,4.0,2
ML115,Chủ nghĩa xã hội khoa học,-1.0,2
ML204,Lịch sử Đảng,-1.0,2
NA151,Khoa học môi trường,-1.0,2
PG121,Giáo dục quốc phòng,6.4,4
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,8.3,2
