Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS110,Kỹ thuật số,4.4,2
CS121,Ngôn ngữ lập trình,1.2,3
CS212,Kiến trúc máy tính,-1.0,3
EC101,Kinh tế học đại cương,-1.0,3
EC102,Nhập môn kinh tế học,4.9,2
GE101,Tiếng Anh sơ cấp 1,5.3,2
GF101,Tiếng Pháp 1,7.7,2
GF102,Tiếng Pháp 2,-1.0,2
IS222,Cơ sở dữ liệu,1.2,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.3,3
MA104,Số và cấu trúc đại số,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.4,3
ML113,Triết học Mác - Lênin,8.0,3
ML114,Kinh tế chính trị Mác - Lênin,2.2,2
ML115,Chủ nghĩa xã hội khoa học,3.0,2
ML202,Tư tưởng Hồ Chí Minh,3.3,2
ML204,Lịch sử Đảng,3.5,2
NA151,Khoa học môi trường,2.9,2
PG113,GDTC: Bóng rổ cơ bản,5.9,1
PG118,GDTC: Thể dục cơ bản,6.4,1
PG120,Thể dục cơ bản nâng cao,10.0,1
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,8.0,1
SH131,Pháp luật đại cương,6.8,2
VL101,Tiếng Việt thực hành,4.9,2
AD216,Kỹ năng sống,-1.0,3
