Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.1,2
CS110,Kỹ thuật số,7.9,2
CS121,Ngôn ngữ lập trình,8.9,3
CS122,Lập trình hướng đối tượng,7.0,3
CS212,Kiến trúc máy tính,9.5,3
EC102,Nhập môn kinh tế học,8.0,2
GE111,Tiếng Anh sơ cấp 1,5.0,2
GE112,Tiếng Anh sơ cấp 2,-1.0,2
GF101,Tiếng Pháp 1,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.5,3
MA110,Giải tích 1,4.6,3
MA120,Đại số tuyến tính,9.5,3
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.4,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,8.9,2
PG115,GDTC: Bóng chuyền cơ bản,5.6,1
SH131,Pháp luật đại cương,8.4,2
VL101,Tiếng Việt thực hành,8.0,2
