Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,9.7,2
CS121,Ngôn ngữ lập trình,8.4,3
CS122,Lập trình hướng đối tượng,7.5,3
EC101,Kinh tế học đại cương,7.6,3
GE100,Tiếng Anh cho người mới bắt đầu,6.8,2
GE101A,Tiếng Anh sơ cấp 1,5.1,2
GE102A,Tiếng Anh sơ cấp 2,5.5,2
GE201A,Tiếng Anh sơ trung cấp 1,5.1,2
GE202A,Tiếng Anh sơ trung cấp 2,3.9,2
GJ101,Tiếng Nhật 1,6.0,2
GJ102,Tiếng Nhật 2,3.2,2
IM201,Kỹ năng soạn thảo VB (MS office),10.0,3
IP401,Thực tập ngành Khoa học máy tính,9.0,2
IS314,Hệ thống thông tin,7.1,3
MA102,Toán cơ sở,5.0,3
ML111,Triết học Mác – Lênin,7.0,2
ML112,Kinh tế chính trị và CNXH khoa học,7.4,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.3,3
NA151,Khoa học môi trường,5.5,2
PG100,Giáo dục thể chất,8.2,4
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,6.3,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,9.0,3
CF212,Cấu trúc dữ liệu,6.5,3
CS110,Kỹ thuật số,8.7,2
CS212,Kiến trúc máy tính,9.0,3
CS224,Lập trình .Net,6.0,3
CS315,Nguyên lý hệ điều hành,5.8,3
CS316,Hệ điều hành Unix,7.7,3
IS222,Cơ sở dữ liệu,5.0,3
IS322,Hệ quản trị cơ sở dữ liệu,8.8,3
IS332,Phân tích thiết kế hướng đối tượng,8.5,3
IS333,Phân tích thiết kế hệ thống thông tin,7.0,2
MA110,Giải tích 1,1.6,3
MA111,Giải tích 2,5.1,3
MA120,Đại số tuyến tính,4.0,3
MA222,Đại số đại cương,1.6,2
MA231,Xác suất thống kê ứng dụng,5.4,4
MI201,Toán rời rạc,8.7,3
MI311,Mã hóa và an toàn dữ liệu,6.0,2
MI312,Đồ họa,7.6,2
MI321,Trí tuệ nhân tạo,5.1,3
MI414,Giao diện người máy,6.5,2
NW212,Mạng máy tính,5.3,2
PE201,Tiếng Anh trong tin học 1A,5.6,2
PE302,Tiếng Anh trong tin học 1B,5.0,2
PE303,Tiếng Anh trong tin học 2A,5.3,2
PE404,Tiếng Anh trong tin học 2B,7.4,2
SE302,Công nghệ phần mềm,8.0,2
SM201,Phương pháp luận nghiên cứu khoa học,8.3,3
