Mã HP,Tên HP,Điểm,Số TC
BA314A,Quản trị nguồn nhân lực,7.4,2
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,4.5,3
CS122,Lập trình hướng đối tượng,2.6,3
EC101,Kinh tế học đại cương,5.3,3
EC102,Nhập môn kinh tế học,5.0,2
GE100,Tiếng Anh cho người mới bắt đầu,7.2,2
GE101A,Tiếng Anh sơ cấp 1,6.9,2
GE102A,Tiếng Anh sơ cấp 2,6.5,2
GE201A,Tiếng Anh sơ trung cấp 1,5.9,2
GE202A,Tiếng Anh sơ trung cấp 2,5.7,2
GJ101,Tiếng Nhật 1,5.2,2
GZ101,Tiếng Trung 1,0.0,2
IM201,Kỹ năng soạn thảo VB (MS office),7.0,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",6.1,3
MA102,Toán cơ sở,-1.0,3
ML111,Triết học Mác – Lênin,2.3,2
ML112,Kinh tế chính trị và CNXH khoa học,2.7,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,9.0,3
NA151,Khoa học môi trường,5.5,2
PG100,Giáo dục thể chất,7.3,4
PG122,GDQP: Đường lối quân sự của Đảng,2.8,1
PG123,GDQP: Công tác quốc phòng - an ninh,4.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,8.0,1
SC201,Kỹ năng giao tiếp và thuyết trình,7.3,2
SH131,Pháp luật đại cương,5.9,2
VL101,Tiếng Việt thực hành,5.0,2
AD204,Ẩm thực Việt nam,6.7,4
BA101,Quản trị học,5.8,2
BA313,Quản trị chiến lược,5.0,3
CS110,Kỹ thuật số,1.2,2
CS212,Kiến trúc máy tính,5.1,3
CS315,Nguyên lý hệ điều hành,6.3,3
EC202,Kinh tế vi mô,7.0,2
EC203,Kinh tế vĩ mô,5.3,2
FN221,Tài chính công,1.7,2
IS222,Cơ sở dữ liệu,-1.0,3
IS314,Hệ thống thông tin,4.4,3
IS332,Phân tích thiết kế hướng đối tượng,5.0,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",-1.0,4
MK201,Nguyên lý marketing,5.0,2
MK313,Quản trị thương hiệu,6.0,3
NW212,Mạng máy tính,3.9,2
SE302,Công nghệ phần mềm,2.0,2
