Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,5.9,3
CS100,Tin đại cương,8.6,2
CS102,Công dân số,8.8,2
CS110,Kỹ thuật số,5.7,2
CS121,Ngôn ngữ lập trình,8.4,3
CS122,Lập trình hướng đối tượng,7.5,3
CS212,Kiến trúc máy tính,6.3,3
EC102,Nhập môn kinh tế học,8.6,2
GE101,Tiếng Anh sơ cấp 1,6.0,2
GE102,Tiếng Anh sơ cấp 2,4.9,2
GE103,Tiếng Anh sơ cấp 3,6.5,2
GE201,Tiếng Anh sơ trung cấp 1,6.8,2
GE202,Tiếng Anh sơ trung cấp 2,7.2,2
GE205,Tiếng Anh sơ trung cấp 3,6.5,2
GE232,Tiếng Anh trung cấp 2,5.9,2
GE301,Tiếng Anh trung cấp 1,6.2,2
GE333,Tiếng Anh trung cấp 3,2.3,2
GZ101,Tiếng Trung 1,6.4,2
GZ102,Tiếng Trung 2,2.6,2
IS222,Cơ sở dữ liệu,5.1,3
IS314,Hệ thống thông tin,7.8,3
IS322,Hệ quản trị cơ sở dữ liệu,5.7,3
IS330,Dữ liệu lớn,8.0,2
IS334,Quản lý dự án hệ thống thông tin,8.5,3
IT320,Phát triển ứng dụng với Python,4.9,3
IT333,Công nghệ Web,1.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",10.0,3
MA104,Số và cấu trúc đại số,9.1,3
MA110,Giải tích 1,6.0,3
MA111,Giải tích 2,6.3,3
MA120,Đại số tuyến tính,10.0,3
MA231,Xác suất thống kê ứng dụng,7.3,4
MI201,Toán rời rạc,7.5,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.7,3
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,9.0,2
ML202,Tư tưởng Hồ Chí Minh,9.6,2
ML204,Lịch sử Đảng,9.8,2
NA151,Khoa học môi trường,8.9,2
NW212,Mạng máy tính,7.9,2
SE302,Công nghệ phần mềm,7.2,2
SH131,Pháp luật đại cương,9.2,2
VL101,Tiếng Việt thực hành,9.5,2
AD215,Ứng dụng PowerPoint,7.5,3
AD216,Kỹ năng sống,10.0,3
CS223,Lập trình Java,4.2,3
CS224,Lập trình .Net,9.0,3
CS314,Lập trình ứng dụng di động,7.0,2
CS315,Nguyên lý hệ điều hành,10.0,3
CS320,Học máy,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
IT332,Internet of Things,2.4,2
IT380,Dự án Công nghệ thông tin,7.3,2
