Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,6.6,2
CS102,Công dân số,4.7,2
CS110,Kỹ thuật số,7.2,2
CS121,Ngôn ngữ lập trình,5.5,3
CS122,Lập trình hướng đối tượng,4.4,3
CS212,Kiến trúc máy tính,6.5,3
EC102,Nhập môn kinh tế học,6.6,2
GE111,Tiếng Anh sơ cấp 1,6.3,2
GE112,Tiếng Anh sơ cấp 2,4.4,2
GJ101,Tiếng Nhật 1,8.5,2
GJ102,Tiếng Nhật 2,7.1,2
IS222,Cơ sở dữ liệu,10.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.7,3
MA104,Số và cấu trúc đại số,5.1,3
MA110,Giải tích 1,3.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,6.6,3
MI201,Toán rời rạc,4.9,3
ML113,Triết học Mác - Lênin,8.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.3,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,8.4,2
PG102,GDTC: Thể dục cổ truyền cơ bản,8.0,1
PG113,GDTC: Bóng rổ cơ bản,6.3,1
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
SH131,Pháp luật đại cương,8.7,2
VL101,Tiếng Việt thực hành,7.1,2
CS315,Nguyên lý hệ điều hành,0.0,3
