Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,0.0,3
CS122,Lập trình hướng đối tượng,0.0,3
EC101,Kinh tế học đại cương,5.0,3
FN201A,Lý thuyết tài chính tiền tệ,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,9.0,2
GE101A,Tiếng Anh sơ cấp 1,8.0,2
GE102A,Tiếng Anh sơ cấp 2,8.6,2
GE201A,Tiếng Anh sơ trung cấp 1,5.7,2
GE202A,Tiếng Anh sơ trung cấp 2,6.3,2
GJ101,Tiếng Nhật 1,5.0,2
GJ102,Tiếng Nhật 2,-1.0,2
IS101,Tin văn phòng,5.8,3
MA102,Toán cơ sở,5.0,3
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
ML112B,Chủ nghĩa xã hội khoa học,6.0,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,-1.0,3
NA151,Khoa học môi trường,7.0,2
PG101,GDTC: Lý thuyết,7.0,1
PG106,GDTC: Bóng bàn cơ bản,9.0,1
PG107,GDTC: Bóng bàn nâng cao,9.0,1
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,0.0,2
AC201,Nguyên lý kế toán,-1.0,3
AD211,Văn hóa Hà Nội,6.0,2
BA101,Quản trị học,5.5,2
CS110,Kỹ thuật số,6.1,2
CS223,Lập trình Java,0.0,3
CS324,Kỹ thuật lập trình,0.0,2
EC202,Kinh tế vi mô,-1.0,2
EC203,Kinh tế vĩ mô,0.8,2
IS222,Cơ sở dữ liệu,4.3,3
IS322E,Hệ quản trị cơ sở dữ liệu,0.0,4
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",-1.0,4
MK201,Nguyên lý marketing,5.8,2
PE201,Tiếng Anh trong tin học 1A,-1.0,2
