Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.4,2
CS121,Ngôn ngữ lập trình,8.6,3
CS122,Lập trình hướng đối tượng,5.8,3
EC102,Nhập môn kinh tế học,5.9,2
GE101,Tiếng Anh sơ cấp 1,8.4,2
GE102,Tiếng Anh sơ cấp 2,6.9,2
GE103,Tiếng Anh sơ cấp 3,6.1,2
GE201,Tiếng Anh sơ trung cấp 1,7.2,2
GE202,Tiếng Anh sơ trung cấp 2,5.6,2
GE205,Tiếng Anh sơ trung cấp 3,2.7,2
GE301,Tiếng Anh trung cấp 1,-1.0,2
GZ101,Tiếng Trung 1,1.9,2
GZ102,Tiếng Trung 2,1.2,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.2,3
MA103,Số và cấu trúc đại số,6.8,2
ML111,Triết học Mác – Lênin,5.4,2
ML112,Kinh tế chính trị và CNXH khoa học,6.1,3
ML202,Tư tưởng Hồ Chí Minh,7.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,-1.0,3
NA151,Khoa học môi trường,5.7,2
PG100,Giáo dục thể chất,7.2,4
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,7.0,1
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,5.5,2
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CF212,Cấu trúc dữ liệu,7.1,3
CS110,Kỹ thuật số,3.0,2
CS212,Kiến trúc máy tính,10.0,3
CS224,Lập trình .Net,-1.0,3
CS315,Nguyên lý hệ điều hành,2.1,3
IS222,Cơ sở dữ liệu,5.6,3
MA110,Giải tích 1,2.6,3
MA120,Đại số tuyến tính,4.1,3
MI201,Toán rời rạc,6.3,3
NW212,Mạng máy tính,1.8,2
SM201,Phương pháp luận nghiên cứu khoa học,9.7,3
