Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,0.0,3
CS100,Tin đại cương,5.4,2
CS102,Công dân số,6.0,2
CS110,Kỹ thuật số,8.8,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,5.1,3
CS212,Kiến trúc máy tính,5.5,3
EC101,Kinh tế học đại cương,6.0,3
EC102,Nhập môn kinh tế học,5.8,2
GE101,Tiếng Anh sơ cấp 1,9.0,2
GE102,Tiếng Anh sơ cấp 2,8.6,2
GE103,Tiếng Anh sơ cấp 3,7.6,2
GE201,Tiếng Anh sơ trung cấp 1,7.2,2
GE202,Tiếng Anh sơ trung cấp 2,7.3,2
GE205,Tiếng Anh sơ trung cấp 3,6.7,2
GE301,Tiếng Anh trung cấp 1,7.6,2
GJ101,Tiếng Nhật 1,9.0,2
GJ102,Tiếng Nhật 2,5.7,2
IS222,Cơ sở dữ liệu,8.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.6,3
MA104,Số và cấu trúc đại số,3.6,3
MA110,Giải tích 1,3.4,3
MA120,Đại số tuyến tính,4.0,3
MI201,Toán rời rạc,4.4,3
ML113,Triết học Mác - Lênin,9.6,3
NW212,Mạng máy tính,7.2,2
SH131,Pháp luật đại cương,8.5,2
VL101,Tiếng Việt thực hành,7.8,2
