Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS121,Ngôn ngữ lập trình,5.6,3
CS122,Lập trình hướng đối tượng,5.4,3
GE100,Tiếng Anh cho người mới bắt đầu,7.8,2
GE101A,Tiếng Anh sơ cấp 1,6.0,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",4.5,3
MA103,Số và cấu trúc đại số,9.5,2
ML111,Triết học Mác – Lênin,7.3,2
ML112,Kinh tế chính trị và CNXH khoa học,2.7,3
ML202,Tư tưởng Hồ Chí Minh,6.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,-1.0,3
NA151,Khoa học môi trường,5.1,2
PG106,GDTC: Bóng bàn cơ bản,2.1,1
PG118,GDTC: Thể dục cơ bản,7.2,1
PG121,Giáo dục quốc phòng,6.8,4
SH131,Pháp luật đại cương,5.8,2
VL101,Tiếng Việt thực hành,6.2,2
MA110,Giải tích 1,2.6,3
MA120,Đại số tuyến tính,3.7,3
MI201,Toán rời rạc,-1.0,3
