Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.1,2
CS121,Ngôn ngữ lập trình,1.6,3
CS122,Lập trình hướng đối tượng,4.0,3
EC102,Nhập môn kinh tế học,3.5,2
GE101,Tiếng Anh sơ cấp 1,7.8,2
GE102,Tiếng Anh sơ cấp 2,7.2,2
GE103,Tiếng Anh sơ cấp 3,6.5,2
GE201,Tiếng Anh sơ trung cấp 1,6.6,2
GE202,Tiếng Anh sơ trung cấp 2,6.9,2
GE205,Tiếng Anh sơ trung cấp 3,6.1,2
GE301,Tiếng Anh trung cấp 1,6.4,2
GE303,Tiếng Anh trung cấp 2,5.1,2
GE305,Tiếng Anh trung cấp 3,5.5,2
GF101,Tiếng Pháp 1,6.0,2
GF102,Tiếng Pháp 2,-1.0,2
GI101,Tiếng Ý 1,5.5,2
GJ101,Tiếng Nhật 1,2.6,2
GJ102,Tiếng Nhật 2,1.6,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",2.4,3
MA103,Số và cấu trúc đại số,-1.0,2
MA104,Số và cấu trúc đại số,-1.0,3
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.9,3
ML202,Tư tưởng Hồ Chí Minh,5.9,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.6,3
NA151,Khoa học môi trường,7.3,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG120,Thể dục cơ bản nâng cao,10.0,1
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,5.3,2
VL101,Tiếng Việt thực hành,6.5,2
CS110,Kỹ thuật số,1.2,2
CS223,Lập trình Java,5.1,3
IS222,Cơ sở dữ liệu,1.7,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,6.3,3
