Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,0.0,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC101,Kinh tế học đại cương,-1.0,3
EC102,Nhập môn kinh tế học,5.1,2
GE100,Tiếng Anh cho người mới bắt đầu,6.3,2
GE101A,Tiếng Anh sơ cấp 1,5.9,2
GE102A,Tiếng Anh sơ cấp 2,6.4,2
GE201A,Tiếng Anh sơ trung cấp 1,5.4,2
GE202A,Tiếng Anh sơ trung cấp 2,5.4,2
GF101,Tiếng Pháp 1,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",3.4,3
MA102,Toán cơ sở,0.0,3
ML111,Triết học Mác – Lênin,4.8,2
ML112,Kinh tế chính trị và CNXH khoa học,5.9,3
ML202,Tư tưởng Hồ Chí Minh,2.3,2
NA151,Khoa học môi trường,7.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,7.0,1
PG113,GDTC: Bóng rổ cơ bản,7.0,1
PG115,GDTC: Bóng chuyền cơ bản,6.0,1
PG118,GDTC: Thể dục cơ bản,1.8,1
PG121,Giáo dục quốc phòng,6.2,4
SH131,Pháp luật đại cương,2.4,2
VL101,Tiếng Việt thực hành,5.9,2
CF212,Cấu trúc dữ liệu,0.0,3
CS110,Kỹ thuật số,-1.0,2
CS212,Kiến trúc máy tính,1.0,3
CS224,Lập trình .Net,2.0,3
CS315,Nguyên lý hệ điều hành,-1.0,3
CS324,Kỹ thuật lập trình,0.0,2
IS222,Cơ sở dữ liệu,-1.0,3
IS322,Hệ quản trị cơ sở dữ liệu,3.0,3
MA110,Giải tích 1,3.2,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,-1.0,3
MI312,Đồ họa,-1.0,2
NW212,Mạng máy tính,5.3,2
NW312,Thiết kế và quản trị mạng,-1.0,3
PE201,Tiếng Anh trong tin học 1A,6.9,2
PE302,Tiếng Anh trong tin học 1B,-1.0,2
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
