Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CS100,Tin đại cương,5.0,2
CS102,Công dân số,5.0,2
CS110,Kỹ thuật số,7.8,2
CS121,Ngôn ngữ lập trình,6.6,3
CS122,Lập trình hướng đối tượng,3.4,3
CS212,Kiến trúc máy tính,4.8,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,8.1,2
GE102,Tiếng Anh sơ cấp 2,7.9,2
GE103,Tiếng Anh sơ cấp 3,7.1,2
GE201,Tiếng Anh sơ trung cấp 1,7.3,2
GE202,Tiếng Anh sơ trung cấp 2,6.7,2
GE205,Tiếng Anh sơ trung cấp 3,6.8,2
GE231,Tiếng Anh trung cấp 1,6.6,2
GE232,Tiếng Anh trung cấp 2,-1.0,2
GF101,Tiếng Pháp 1,8.3,2
GF102,Tiếng Pháp 2,8.5,2
IS222,Cơ sở dữ liệu,3.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.0,3
MA104,Số và cấu trúc đại số,3.8,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,5.4,3
MA239,Xác suất thống kê,-1.0,4
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,3.0,2
ML115,Chủ nghĩa xã hội khoa học,8.0,2
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML204,Lịch sử Đảng,4.9,2
NW212,Mạng máy tính,4.2,2
PG113,GDTC: Bóng rổ cơ bản,0.0,1
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,8.9,2
CS315,Nguyên lý hệ điều hành,0.0,3
