Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,4.1,2
CS100,Tin đại cương,9.0,2
CS101,Công dân số,9.4,2
CS121,Ngôn ngữ lập trình,9.5,3
CS122,Lập trình hướng đối tượng,6.8,3
CS320,Học máy,3.0,3
EC102,Nhập môn kinh tế học,7.8,2
GE101,Tiếng Anh sơ cấp 1,5.5,2
GE102,Tiếng Anh sơ cấp 2,4.6,2
GE103,Tiếng Anh sơ cấp 3,6.0,2
GE201,Tiếng Anh sơ trung cấp 1,7.2,2
GE202,Tiếng Anh sơ trung cấp 2,7.2,2
GE205,Tiếng Anh sơ trung cấp 3,4.4,2
GE231,Tiếng Anh trung cấp 1,4.6,2
GE232,Tiếng Anh trung cấp 2,1.6,2
GE301,Tiếng Anh trung cấp 1,3.8,2
GE303,Tiếng Anh trung cấp 2,-1.0,2
GF101,Tiếng Pháp 1,7.2,2
GF102,Tiếng Pháp 2,6.8,2
IS314,Hệ thống thông tin,8.2,3
IS330,Dữ liệu lớn,8.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.8,3
MA104,Số và cấu trúc đại số,9.8,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.4,3
ML113,Triết học Mác - Lênin,7.6,3
ML114,Kinh tế chính trị Mác - Lênin,9.6,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML202,Tư tưởng Hồ Chí Minh,8.1,2
ML204,Lịch sử Đảng,7.2,2
NA151,Khoa học môi trường,9.3,2
PG100,Giáo dục thể chất,8.1,4
PG121,Giáo dục quốc phòng,5.3,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2.4,3
SH131,Pháp luật đại cương,7.2,2
AD215,Ứng dụng PowerPoint,8.1,3
AD216,Kỹ năng sống,9.5,3
CF211,Phân tích và thiết kế thuật toán,7.3,2
CF212,Cấu trúc dữ liệu,7.0,3
CS110,Kỹ thuật số,6.0,2
CS212,Kiến trúc máy tính,7.3,3
CS315,Nguyên lý hệ điều hành,7.6,3
CS321,Nhập môn khoa học dữ liệu,5.8,2
IS222,Cơ sở dữ liệu,4.3,3
IS322,Hệ quản trị cơ sở dữ liệu,6.1,3
IS332,Phân tích thiết kế hướng đối tượng,8.1,3
IT333,Công nghệ Web,8.0,3
MA110,Giải tích 1,6.7,3
MA111,Giải tích 2,6.6,3
MA120,Đại số tuyến tính,9.0,3
MA231,Xác suất thống kê ứng dụng,4.8,4
MI201,Toán rời rạc,7.1,3
MI312,Đồ họa,7.5,2
NW212,Mạng máy tính,7.2,2
SE302,Công nghệ phần mềm,8.9,2
