Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.7,2
CS121,Ngôn ngữ lập trình,-1.0,3
CS212,Kiến trúc máy tính,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE111,Tiếng Anh sơ cấp 1,3.8,2
IS222,Cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",2.7,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,3.6,3
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,0.0,2
NA151,Khoa học môi trường,-1.0,2
PG113,GDTC: Bóng rổ cơ bản,4.8,1
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,5.0,1
PG125,GDQP: Kỹ thuật bắn súng,7.0,1
SH131,Pháp luật đại cương,6.3,2
VL101,Tiếng Việt thực hành,4.9,2
