Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,8.3,2
CS100,Tin đại cương,8.3,2
CS121,Ngôn ngữ lập trình,9.7,3
CS122,Lập trình hướng đối tượng,9.0,3
EC102,Nhập môn kinh tế học,6.9,2
GE100,Tiếng Anh cho người mới bắt đầu,5.9,2
GE101A,Tiếng Anh sơ cấp 1,5.5,2
GE102A,Tiếng Anh sơ cấp 2,5.2,2
GE201A,Tiếng Anh sơ trung cấp 1,5.3,2
GE202A,Tiếng Anh sơ trung cấp 2,6.0,2
GF101,Tiếng Pháp 1,6.5,2
GF102,Tiếng Pháp 2,6.3,2
GJ101,Tiếng Nhật 1,6.0,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
IM201,Kỹ năng soạn thảo VB (MS office),10.0,3
IP401,Thực tập ngành Khoa học máy tính,9.0,2
IS314,Hệ thống thông tin,5.2,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",8.0,3
MA103,Số và cấu trúc đại số,6.2,2
ML111,Triết học Mác – Lênin,7.4,2
ML112,Kinh tế chính trị và CNXH khoa học,6.8,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,9.0,3
NA151,Khoa học môi trường,7.7,2
PG100,Giáo dục thể chất,7.7,4
PG121,Giáo dục quốc phòng,6.6,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,7.7,3
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,7.5,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,9.0,3
CF212,Cấu trúc dữ liệu,10.0,3
CF301,Ngôn ngữ hình thức và Otomat,5.9,3
CS110,Kỹ thuật số,6.8,2
CS212,Kiến trúc máy tính,8.0,3
CS315,Nguyên lý hệ điều hành,8.0,3
CS499,KLTN ngành Khoa học máy tính,-1.0,6
IS222,Cơ sở dữ liệu,9.1,3
IS322,Hệ quản trị cơ sở dữ liệu,8.3,3
IS332,Phân tích thiết kế hướng đối tượng,8.4,3
MA110,Giải tích 1,9.0,3
MA111,Giải tích 2,10.0,3
MA120,Đại số tuyến tính,6.6,3
MA231,Xác suất thống kê ứng dụng,6.1,4
MI201,Toán rời rạc,8.4,3
MI312,Đồ họa,8.5,2
MI321,Trí tuệ nhân tạo,9.0,3
MI414,Giao diện người máy,5.6,2
NW212,Mạng máy tính,5.2,2
PE201,Tiếng Anh trong tin học 1A,5.4,2
PE302,Tiếng Anh trong tin học 1B,5.9,2
PE303,Tiếng Anh trong tin học 2A,5.8,2
PE404,Tiếng Anh trong tin học 2B,5.3,2
SE302,Công nghệ phần mềm,7.3,2
SE380,Project,7.5,3
SE422,Quản lý dự án phần mềm,8.0,3
SM201,Phương pháp luận nghiên cứu khoa học,9.0,3
