Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.3,2
CS121,Ngôn ngữ lập trình,7.9,3
CS122,Lập trình hướng đối tượng,8.0,3
EC101,Kinh tế học đại cương,6.3,3
FN201A,Lý thuyết tài chính tiền tệ,7.6,2
GE100,Tiếng Anh cho người mới bắt đầu,8.0,2
GE101A,Tiếng Anh sơ cấp 1,7.0,2
GE102A,Tiếng Anh sơ cấp 2,6.5,2
GE201A,Tiếng Anh sơ trung cấp 1,6.3,2
GE202A,Tiếng Anh sơ trung cấp 2,6.4,2
GF101,Tiếng Pháp 1,5.0,2
GF102,Tiếng Pháp 2,6.5,2
IS322E,Hệ quản trị cơ sở dữ liệu,7.0,4
MA102,Toán cơ sở,7.9,3
MA110A,Giải tích 1A,5.0,2
MA120A,Đại số tuyến tính 1,5.8,2
ML111,Triết học Mác – Lênin,6.5,2
ML112,Kinh tế chính trị và CNXH khoa học,6.3,3
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.5,3
NA151,Khoa học môi trường,8.0,2
NW322A,Lập trình mạng,8.0,4
PG100,Giáo dục thể chất,6.4,4
PG121,Giáo dục quốc phòng,7.1,4
SH131,Pháp luật đại cương,5.0,2
AD211,Văn hóa Hà Nội,6.4,2
CF201,Lý thuyết thuật toán,8.0,3
CF212,Cấu trúc dữ liệu,7.5,3
CF302,"Văn phạm, ngôn ngữ hình thức, otomat và CT dịch",9.5,3
CS110,Kỹ thuật số,7.1,2
CS212,Kiến trúc máy tính,8.0,3
CS223,Lập trình Java,6.5,3
CS315,Nguyên lý hệ điều hành,9.0,3
CS316,Hệ điều hành Unix,7.1,3
CS324,Kỹ thuật lập trình,9.0,2
EC202,Kinh tế vi mô,6.9,2
IS222,Cơ sở dữ liệu,8.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
IS484,CĐTN: Cơ sở dữ liệu,9.5,6
MA110,Giải tích 1,6.8,3
MA111,Giải tích 2,5.8,3
MA212,Phương trình vi phân,6.3,2
MA222,Đại số đại cương,7.5,2
MA231,Xác suất thống kê ứng dụng,7.5,4
MI201,Toán rời rạc,6.7,3
MI311,Mã hóa và an toàn dữ liệu,5.5,2
MI312,Đồ họa,7.0,2
MI321,Trí tuệ nhân tạo,6.5,3
MK201,Nguyên lý marketing,5.8,2
NW212,Mạng máy tính,5.3,2
NW312,Thiết kế và quản trị mạng,7.0,3
NW332,An toàn mạng,7.4,3
PE201,Tiếng Anh trong tin học 1A,7.4,2
PE221,Tiếng Anh doanh nghiệp 1A,6.4,2
PE302,Tiếng Anh trong tin học 1B,7.7,2
PE303,Tiếng Anh trong tin học 2A,5.9,2
PE404,Tiếng Anh trong tin học 2B,7.0,2
SE302,Công nghệ phần mềm,8.0,2
