Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,5.5,3
CS122,Lập trình hướng đối tượng,7.0,3
EC102,Nhập môn kinh tế học,5.0,2
GE101,Tiếng Anh sơ cấp 1,8.5,2
GE102,Tiếng Anh sơ cấp 2,7.8,2
GZ101,Tiếng Trung 1,7.0,2
GZ102,Tiếng Trung 2,8.5,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IS317,Hạ tầng công nghệ thông tin,9.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.1,3
MA103,Số và cấu trúc đại số,3.5,2
MA104,Số và cấu trúc đại số,1.8,3
ML111,Triết học Mác – Lênin,7.1,2
ML112,Kinh tế chính trị và CNXH khoa học,5.4,3
ML202,Tư tưởng Hồ Chí Minh,7.7,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.4,3
ML204,Lịch sử Đảng,8.4,2
NA151,Khoa học môi trường,6.2,2
PG100,Giáo dục thể chất,7.4,4
PG121,Giáo dục quốc phòng,7.3,4
SC201,Kỹ năng giao tiếp và thuyết trình,9.6,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,7.7,3
SH131,Pháp luật đại cương,7.0,2
VL101,Tiếng Việt thực hành,7.2,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.0,3
AD216,Kỹ năng sống,8.8,3
CF212,Cấu trúc dữ liệu,5.0,3
CS110,Kỹ thuật số,6.4,2
CS212,Kiến trúc máy tính,5.1,3
CS223,Lập trình Java,6.8,3
CS315,Nguyên lý hệ điều hành,7.3,3
IP403,Thực tập ngành Hệ thống thông tin,9.0,2
IS222,Cơ sở dữ liệu,5.3,3
IS314,Hệ thống thông tin,6.2,3
IS315,Mô hình hóa quy trình nghiệp vụ,6.9,2
IS322,Hệ quản trị cơ sở dữ liệu,4.9,3
IS326,Khai phá dữ liệu,5.6,3
IS327,Kho dữ liệu,4.4,3
IS332,Phân tích thiết kế hướng đối tượng,6.0,3
IS334,Quản lý dự án hệ thống thông tin,7.3,3
IS383,Hệ thống thông tin nâng cao,8.2,2
IS487,CĐTN: Hệ thống thông tin quản lý,9.1,6
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,6.1,3
MA120,Đại số tuyến tính,5.7,3
MA231,Xác suất thống kê ứng dụng,9.7,4
MI201,Toán rời rạc,5.4,3
NW212,Mạng máy tính,4.4,2
SE302,Công nghệ phần mềm,7.8,2
SM201,Phương pháp luận nghiên cứu khoa học,6.5,3
