Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,7.2,2
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,7.6,3
CS122,Lập trình hướng đối tượng,5.1,3
EC102,Nhập môn kinh tế học,6.5,2
GE100A,Tiếng Anh cho người mới bắt đầu,7.0,0
GE101A,Tiếng Anh sơ cấp 1,6.6,2
GE102A,Tiếng Anh sơ cấp 2,6.3,2
GE201,Tiếng Anh sơ trung cấp 1,6.1,2
GE202,Tiếng Anh sơ trung cấp 2,7.3,2
GE205,Tiếng Anh sơ trung cấp 3,5.0,2
GE301,Tiếng Anh trung cấp 1,5.9,2
GE303,Tiếng Anh trung cấp 2,5.3,2
GE305,Tiếng Anh trung cấp 3,1.4,2
GJ101,Tiếng Nhật 1,6.8,2
GJ102,Tiếng Nhật 2,8.8,2
IP401,Thực tập ngành Khoa học máy tính,8.0,2
IS314,Hệ thống thông tin,7.2,3
IS325,Cơ sở dữ liệu phân tán,2.6,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",6.2,3
MA103,Số và cấu trúc đại số,5.0,2
ML111,Triết học Mác – Lênin,7.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.4,3
ML202,Tư tưởng Hồ Chí Minh,7.2,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.2,3
NA151,Khoa học môi trường,5.5,2
PG106,GDTC: Bóng bàn cơ bản,7.0,1
PG113,GDTC: Bóng rổ cơ bản,6.2,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,4.1,1
PG121,Giáo dục quốc phòng,6.7,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,7.6,3
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,7.3,2
AD204,Ẩm thực Việt nam,8.7,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,8.0,3
CF212,Cấu trúc dữ liệu,9.0,3
CF301,Ngôn ngữ hình thức và Otomat,1.5,3
CS110,Kỹ thuật số,5.7,2
CS212,Kiến trúc máy tính,10.0,3
CS223,Lập trình Java,2.8,3
CS224,Lập trình .Net,10.0,3
CS315,Nguyên lý hệ điều hành,6.3,3
IS222,Cơ sở dữ liệu,5.1,3
IS322,Hệ quản trị cơ sở dữ liệu,5.9,3
IS332,Phân tích thiết kế hướng đối tượng,8.3,3
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,5.0,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,6.2,4
MI201,Toán rời rạc,5.5,3
MI312,Đồ họa,8.3,2
MI321,Trí tuệ nhân tạo,8.5,3
NW212,Mạng máy tính,8.1,2
SE302,Công nghệ phần mềm,7.2,2
SE380,Project,8.0,3
SE422,Quản lý dự án phần mềm,7.0,3
SE487,CĐTN: Phát triển phần mềm,9.3,6
SM201,Phương pháp luận nghiên cứu khoa học,7.3,3
