Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,9.6,2
CS102,Công dân số,-1.0,2
CS121,Ngôn ngữ lập trình,4.8,3
CS122,Lập trình hướng đối tượng,1.2,3
EC102,Nhập môn kinh tế học,6.8,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,10.0,2
GE103,Tiếng Anh sơ cấp 3,10.0,2
GE201,Tiếng Anh sơ trung cấp 1,8.0,2
GE202,Tiếng Anh sơ trung cấp 2,3.2,2
GE205,Tiếng Anh sơ trung cấp 3,6.7,2
GJ101,Tiếng Nhật 1,8.8,2
GJ102,Tiếng Nhật 2,7.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.4,3
MA104,Số và cấu trúc đại số,2.0,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML202,Tư tưởng Hồ Chí Minh,9.8,2
ML204,Lịch sử Đảng,9.0,2
NA151,Khoa học môi trường,8.2,2
PG121,Giáo dục quốc phòng,6.9,4
SH131,Pháp luật đại cương,9.8,2
CF212,Cấu trúc dữ liệu,1.2,3
CS110,Kỹ thuật số,2.3,2
CS212,Kiến trúc máy tính,1.5,3
CS315,Nguyên lý hệ điều hành,1.5,3
IS222,Cơ sở dữ liệu,4.4,3
MA120,Đại số tuyến tính,5.8,3
MA231,Xác suất thống kê ứng dụng,2.8,4
MI201,Toán rời rạc,6.3,3
NW212,Mạng máy tính,4.3,2
