Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,5.4,2
CS121,Ngôn ngữ lập trình,5.0,3
CS212A,Kiến trúc máy tính 1,1.5,2
EC102,Nhập môn kinh tế học,0.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.6,2
GE101A,Tiếng Anh sơ cấp 1,0.0,2
GF101,Tiếng Pháp 1,2.4,2
MA100A,Toán 1,3.5,2
MA110A,Giải tích 1A,-1.0,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,2.0,2
ML112,Kinh tế chính trị và CNXH khoa học,2.0,3
ML202,Tư tưởng Hồ Chí Minh,7.5,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.0,3
NA151,Khoa học môi trường,-1.9,2
PG101,GDTC: Lý thuyết,4.4,1
PG102,GDTC: Thể dục cổ truyền cơ bản,6.7,1
PG104,GDTC: Cầu lông cơ bản,5.0,1
PG106,GDTC: Bóng bàn cơ bản,7.0,1
CS110,Kỹ thuật số,1.0,2
IS222,Cơ sở dữ liệu,0.0,3
MA231,Xác suất thống kê ứng dụng,0.0,4
MI201,Toán rời rạc,-1.0,3
