Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,8.1,2
CS100,Tin đại cương,10.0,2
CS102,Công dân số,5.9,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,10.0,3
CS320,Học máy,9.0,3
EC102,Nhập môn kinh tế học,8.0,2
GE101,Tiếng Anh sơ cấp 1,6.0,2
GE102,Tiếng Anh sơ cấp 2,8.2,2
GE103,Tiếng Anh sơ cấp 3,4.4,2
GZ101,Tiếng Trung 1,6.5,2
GZ102,Tiếng Trung 2,6.0,2
IM201,Kỹ năng soạn thảo VB (MS office),9.0,3
IP401,Thực tập ngành Khoa học máy tính,9.5,2
IS314,Hệ thống thông tin,7.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.7,3
MA104,Số và cấu trúc đại số,5.0,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.8,3
ML111,Triết học Mác – Lênin,6.6,2
ML112,Kinh tế chính trị và CNXH khoa học,6.7,3
ML202,Tư tưởng Hồ Chí Minh,6.8,2
ML204,Lịch sử Đảng,7.6,2
NA151,Khoa học môi trường,7.6,2
PG100,Giáo dục thể chất,6.9,4
PG121,Giáo dục quốc phòng,6.8,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,7.7,3
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,6.8,2
AD242,Thiết kế mỹ thuật,8.0,3
CF211,Phân tích và thiết kế thuật toán,6.3,2
CF212,Cấu trúc dữ liệu,9.0,3
CS110,Kỹ thuật số,7.8,2
CS212,Kiến trúc máy tính,5.8,3
CS223,Lập trình Java,7.4,3
CS315,Nguyên lý hệ điều hành,8.2,3
CS321,Nhập môn khoa học dữ liệu,10.0,2
CS425,Một số vấn đề hiện đại trong khoa học máy tính,10.0,2
CS499,KLTN ngành Khoa học máy tính,9.2,6
FN334,Đầu tư chứng khoán,6.3,2
IS222,Cơ sở dữ liệu,5.8,3
IS322,Hệ quản trị cơ sở dữ liệu,5.4,3
IS332,Phân tích thiết kế hướng đối tượng,6.9,3
MA110,Giải tích 1,5.1,3
MA111,Giải tích 2,7.2,3
MA120,Đại số tuyến tính,8.3,3
MA231,Xác suất thống kê ứng dụng,6.3,4
MI201,Toán rời rạc,7.0,3
MI312,Đồ họa,10.0,2
NW212,Mạng máy tính,5.4,2
SE302,Công nghệ phần mềm,8.2,2
SE380,Project,10.0,3
SE422,Quản lý dự án phần mềm,8.0,3
