Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.0,2
CS102,Công dân số,4.1,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,6.2,3
CS122,Lập trình hướng đối tượng,8.5,3
CS212,Kiến trúc máy tính,3.4,3
EC102,Nhập môn kinh tế học,5.9,2
GE111,Tiếng Anh sơ cấp 1,10.0,2
GE112,Tiếng Anh sơ cấp 2,6.8,2
GE121,Tiếng Anh sơ trung cấp 1,7.5,2
GE222,Tiếng Anh sơ trung cấp 2,7.7,2
GJ101,Tiếng Nhật 1,0.0,2
GZ101,Tiếng Trung 1,9.5,2
GZ102,Tiếng Trung 2,9.8,2
IS222,Cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.5,3
MA104,Số và cấu trúc đại số,5.4,3
ML113,Triết học Mác - Lênin,-1.0,3
NA151,Khoa học môi trường,7.7,2
SH131,Pháp luật đại cương,8.3,2
VL101,Tiếng Việt thực hành,7.1,2
