Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.3,2
CS102,Công dân số,4.4,2
EC102,Nhập môn kinh tế học,0.0,2
GE111,Tiếng Anh sơ cấp 1,5.8,2
GE112,Tiếng Anh sơ cấp 2,4.6,2
GE121,Tiếng Anh sơ trung cấp 1,5.2,2
GE222,Tiếng Anh sơ trung cấp 2,4.8,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GZ101,Tiếng Trung 1,8.0,2
GZ102,Tiếng Trung 2,6.7,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.5,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,8.9,2
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,7.0,2
