Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,6.7,3
CS100,Tin đại cương,5.5,2
CS110,Kỹ thuật số,4.0,2
CS121,Ngôn ngữ lập trình,8.3,3
CS122,Lập trình hướng đối tượng,3.6,3
CS212,Kiến trúc máy tính,5.4,3
EC101,Kinh tế học đại cương,5.2,3
GE101,Tiếng Anh sơ cấp 1,5.9,2
GE102,Tiếng Anh sơ cấp 2,5.8,2
GE103,Tiếng Anh sơ cấp 3,4.0,2
GF101,Tiếng Pháp 1,6.9,2
GF102,Tiếng Pháp 2,9.3,2
GJ101,Tiếng Nhật 1,5.6,2
IS222,Cơ sở dữ liệu,5.1,3
IS314,Hệ thống thông tin,6.3,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
IS330,Dữ liệu lớn,7.1,2
IS334,Quản lý dự án hệ thống thông tin,1.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.9,3
MA104,Số và cấu trúc đại số,6.1,3
MA110,Giải tích 1,7.9,3
MA111,Giải tích 2,4.3,3
MA120,Đại số tuyến tính,6.2,3
MA231,Xác suất thống kê ứng dụng,6.9,4
MI201,Toán rời rạc,6.5,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,2.5,3
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.2,3
ML202,Tư tưởng Hồ Chí Minh,7.8,2
ML204,Lịch sử Đảng,9.0,2
NA151,Khoa học môi trường,8.9,2
NW212,Mạng máy tính,5.7,2
PG106,GDTC: Bóng bàn cơ bản,7.3,1
PG118,GDTC: Thể dục cơ bản,4.6,1
SH131,Pháp luật đại cương,6.6,2
AD216,Kỹ năng sống,9.6,3
AD312,Bóng đá,9.3,4
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CS223,Lập trình Java,1.2,3
CS224,Lập trình .Net,-1.0,3
CS315,Nguyên lý hệ điều hành,8.8,3
IS332,Phân tích thiết kế hướng đối tượng,2.2,3
MI312,Đồ họa,1.5,2
