Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,-1.0,2
GF101,Tiếng Pháp 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",1.6,3
MA104,Số và cấu trúc đại số,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,1.6,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
ML111,Triết học Mác – Lênin,7.1,2
ML112,Kinh tế chính trị và CNXH khoa học,4.6,3
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,2.1,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,2.0,2
AD215,Ứng dụng PowerPoint,-1.0,3
