Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.6,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,2.2,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,7.7,2
GE102,Tiếng Anh sơ cấp 2,7.0,2
GE103,Tiếng Anh sơ cấp 3,6.4,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,6.3,2
ML112,Kinh tế chính trị và CNXH khoa học,2.3,3
NA151,Khoa học môi trường,2.6,2
PG121,Giáo dục quốc phòng,6.4,4
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,7.1,2
CS223,Lập trình Java,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
