Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,-1.0,4
CS100,Tin đại cương,5.7,2
CS101,Công dân số,8.8,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,6.6,3
EC102,Nhập môn kinh tế học,5.4,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,10.0,2
GE103,Tiếng Anh sơ cấp 3,10.0,2
GE201,Tiếng Anh sơ trung cấp 1,9.0,2
GE202,Tiếng Anh sơ trung cấp 2,7.5,2
GE205,Tiếng Anh sơ trung cấp 3,8.3,2
GE301,Tiếng Anh trung cấp 1,8.7,2
GE303,Tiếng Anh trung cấp 2,8.7,2
GE305,Tiếng Anh trung cấp 3,8.1,2
GK101,Tiếng Hàn 1,8.7,2
GK102,Tiếng Hàn 2,6.2,2
IS314,Hệ thống thông tin,2.6,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.0,3
MA104,Số và cấu trúc đại số,5.7,3
ML113,Triết học Mác - Lênin,6.8,3
ML114,Kinh tế chính trị Mác - Lênin,5.9,2
ML115,Chủ nghĩa xã hội khoa học,7.5,2
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML204,Lịch sử Đảng,7.4,2
NA151,Khoa học môi trường,7.2,2
PG100,Giáo dục thể chất,8.8,4
PG121,Giáo dục quốc phòng,5.3,4
SH131,Pháp luật đại cương,7.1,2
ST450,Toeic,9.2,3
VL101,Tiếng Việt thực hành,4.9,2
AD240,Nhiếp ảnh cơ bản,2.4,3
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,5.5,2
CS212,Kiến trúc máy tính,4.2,3
CS315,Nguyên lý hệ điều hành,1.2,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IM206,ứng dụng Excel,9.0,2
IS222,Cơ sở dữ liệu,7.7,3
IS322,Hệ quản trị cơ sở dữ liệu,1.5,3
MA110,Giải tích 1,2.6,3
MA120,Đại số tuyến tính,3.8,3
MA231,Xác suất thống kê ứng dụng,2.9,4
MI201,Toán rời rạc,6.8,3
NW212,Mạng máy tính,4.0,2
