Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,5.7,2
CS100,Tin đại cương,8.4,2
CS101,Công dân số,9.3,2
CS121,Ngôn ngữ lập trình,8.0,3
CS122,Lập trình hướng đối tượng,7.7,3
CS320,Học máy,2.2,3
EC102,Nhập môn kinh tế học,8.7,2
GE101,Tiếng Anh sơ cấp 1,7.7,2
GE102,Tiếng Anh sơ cấp 2,7.0,2
GE103,Tiếng Anh sơ cấp 3,8.3,2
GE201,Tiếng Anh sơ trung cấp 1,8.5,2
GE202,Tiếng Anh sơ trung cấp 2,8.2,2
GE205,Tiếng Anh sơ trung cấp 3,6.5,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GZ101,Tiếng Trung 1,9.5,2
GZ102,Tiếng Trung 2,8.7,2
IS314,Hệ thống thông tin,9.0,3
IS330,Dữ liệu lớn,9.3,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.6,3
MA104,Số và cấu trúc đại số,7.9,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.5,3
ML113,Triết học Mác - Lênin,8.1,3
ML114,Kinh tế chính trị Mác - Lênin,10.0,2
ML115,Chủ nghĩa xã hội khoa học,9.4,2
ML202,Tư tưởng Hồ Chí Minh,9.4,2
ML204,Lịch sử Đảng,9.8,2
NA151,Khoa học môi trường,9.1,2
PG100,Giáo dục thể chất,7.6,4
PG121,Giáo dục quốc phòng,6.9,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2.5,3
SH131,Pháp luật đại cương,8.5,2
VL101,Tiếng Việt thực hành,9.5,2
AD215,Ứng dụng PowerPoint,2.8,3
AD216,Kỹ năng sống,10.0,3
CF211,Phân tích và thiết kế thuật toán,8.6,2
CF212,Cấu trúc dữ liệu,8.6,3
CS110,Kỹ thuật số,6.0,2
CS212,Kiến trúc máy tính,8.1,3
CS315,Nguyên lý hệ điều hành,8.7,3
CS321,Nhập môn khoa học dữ liệu,8.5,2
IM206,ứng dụng Excel,8.8,2
IS222,Cơ sở dữ liệu,5.9,3
IS322,Hệ quản trị cơ sở dữ liệu,4.3,3
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
MA110,Giải tích 1,7.7,3
MA111,Giải tích 2,7.0,3
MA120,Đại số tuyến tính,7.9,3
MA231,Xác suất thống kê ứng dụng,7.1,4
MI201,Toán rời rạc,5.0,3
MI312,Đồ họa,10.0,2
NW212,Mạng máy tính,5.7,2
SE302,Công nghệ phần mềm,8.8,2
