Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.6,2
CS102,Công dân số,8.3,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,5.3,3
CS122,Lập trình hướng đối tượng,9.0,3
EC102,Nhập môn kinh tế học,7.1,2
GE111,Tiếng Anh sơ cấp 1,4.9,2
GE112,Tiếng Anh sơ cấp 2,5.7,2
GZ101,Tiếng Trung 1,8.5,2
IS222,Cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.8,3
MA104,Số và cấu trúc đại số,4.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.5,3
MA239,Xác suất thống kê,-1.0,4
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,8.5,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML204,Lịch sử Đảng,9.2,2
NA151,Khoa học môi trường,7.8,2
PG113,GDTC: Bóng rổ cơ bản,5.6,1
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,7.2,2
AD215,Ứng dụng PowerPoint,0.0,3
AD219,Nâng cao chất lượng giọng hát,0.0,4
