Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.3,2
CS121,Ngôn ngữ lập trình,9.0,3
CS122,Lập trình hướng đối tượng,10.0,3
EC102,Nhập môn kinh tế học,6.0,2
GE101,Tiếng Anh sơ cấp 1,7.1,2
GE102,Tiếng Anh sơ cấp 2,5.8,2
GJ101,Tiếng Nhật 1,7.0,2
GJ102,Tiếng Nhật 2,9.5,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),9.1,3
IS317,Hạ tầng công nghệ thông tin,9.0,2
IS325,Cơ sở dữ liệu phân tán,7.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.6,3
MA103,Số và cấu trúc đại số,6.6,2
ML111,Triết học Mác – Lênin,7.5,2
ML112,Kinh tế chính trị và CNXH khoa học,8.7,3
ML202,Tư tưởng Hồ Chí Minh,7.9,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,8.3,2
PG100,Giáo dục thể chất,7.3,4
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,5.1,2
VL101,Tiếng Việt thực hành,7.3,2
AD215,Ứng dụng PowerPoint,8.7,3
CF212,Cấu trúc dữ liệu,7.8,3
CS110,Kỹ thuật số,8.6,2
CS212,Kiến trúc máy tính,6.1,3
CS224,Lập trình .Net,8.0,3
CS315,Nguyên lý hệ điều hành,8.0,3
CS325,Lập trình PHP,8.0,3
IP403,Thực tập ngành Hệ thống thông tin,9.0,2
IS222,Cơ sở dữ liệu,7.0,3
IS314,Hệ thống thông tin,7.7,3
IS315,Mô hình hóa quy trình nghiệp vụ,8.8,2
IS322,Hệ quản trị cơ sở dữ liệu,7.4,3
IS326,Khai phá dữ liệu,7.5,3
IS327,Kho dữ liệu,9.6,3
IS332,Phân tích thiết kế hướng đối tượng,8.5,3
IS334,Quản lý dự án hệ thống thông tin,7.5,3
IS383,Hệ thống thông tin nâng cao,7.5,2
IS480,Kiến trúc doanh nghiệp,7.5,3
IS499,KLTN ngành Hệ thống thông tin,9.5,6
MA110,Giải tích 1,7.7,3
MA111,Giải tích 2,7.7,3
MA120,Đại số tuyến tính,6.1,3
MA231,Xác suất thống kê ứng dụng,5.0,4
MI201,Toán rời rạc,6.7,3
NW212,Mạng máy tính,7.3,2
SE302,Công nghệ phần mềm,8.5,2
SM201,Phương pháp luận nghiên cứu khoa học,8.1,3
