Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.5,2
CS121,Ngôn ngữ lập trình,7.0,3
CS122,Lập trình hướng đối tượng,7.9,3
EC101,Kinh tế học đại cương,6.8,3
GE100,Tiếng Anh cho người mới bắt đầu,6.9,2
GE101A,Tiếng Anh sơ cấp 1,6.5,2
GE102A,Tiếng Anh sơ cấp 2,6.8,2
GE201A,Tiếng Anh sơ trung cấp 1,6.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.0,2
GJ101,Tiếng Nhật 1,6.6,2
GJ102,Tiếng Nhật 2,8.3,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",10.0,3
MA102,Toán cơ sở,5.0,3
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.0,3
ML202,Tư tưởng Hồ Chí Minh,8.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,9.0,3
NA151,Khoa học môi trường,7.8,2
PG100,Giáo dục thể chất,5.6,4
PG121,Giáo dục quốc phòng,6.4,4
SH131,Pháp luật đại cương,7.5,2
VL101,Tiếng Việt thực hành,6.3,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.5,3
CF201,Lý thuyết thuật toán,8.0,3
CF212,Cấu trúc dữ liệu,5.0,3
CF302,"Văn phạm, ngôn ngữ hình thức, otomat và CT dịch",9.0,3
CF303,Hệ thống TEX,10.0,2
CS212,Kiến trúc máy tính,5.0,3
CS312,Lập trình hệ thống,0.0,3
CS315,Nguyên lý hệ điều hành,6.5,3
CS316,Hệ điều hành Unix,8.3,3
IS222,Cơ sở dữ liệu,5.3,3
IS332,Phân tích thiết kế hướng đối tượng,4.4,3
MA110,Giải tích 1,5.1,3
MA111,Giải tích 2,5.2,3
MA120,Đại số tuyến tính,7.8,3
MA212,Phương trình vi phân,7.0,2
MA222,Đại số đại cương,5.0,2
MA231,Xác suất thống kê ứng dụng,7.5,4
MA313,Hàm biến phức,8.5,2
MA323,Số học thuật toán,6.3,2
MA340,Giải tích số,5.0,3
MI201,Toán rời rạc,6.7,3
MI302,Tối ưu hóa,8.1,2
MI311,Mã hóa và an toàn dữ liệu,8.0,2
MI312,Đồ họa,6.0,2
MI321,Trí tuệ nhân tạo,5.0,3
MI331,Hệ thống hỗ trợ tính toán,7.5,2
MI425,Chuyên đề cơ sở dữ liệu và trí tuệ nhân tạo 1,6.0,4
MI426,Chuyên đề cơ sở dữ liệu và trí tuệ nhân tạo 2,9.5,3
NW212,Mạng máy tính,7.4,2
PE201,Tiếng Anh trong tin học 1A,5.0,2
PE302,Tiếng Anh trong tin học 1B,5.0,2
PE303,Tiếng Anh trong tin học 2A,5.3,2
PE404,Tiếng Anh trong tin học 2B,5.5,2
