Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE111,Tiếng Anh sơ cấp 1,5.8,2
GE112,Tiếng Anh sơ cấp 2,4.5,2
GF101,Tiếng Pháp 1,0.0,2
GZ101,Tiếng Trung 1,4.0,2
GZ102,Tiếng Trung 2,3.5,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.0,3
MA104,Số và cấu trúc đại số,3.4,3
ML113,Triết học Mác - Lênin,8.7,3
ML114,Kinh tế chính trị Mác - Lênin,7.2,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,4.0,2
NA151,Khoa học môi trường,7.7,2
PG121,Giáo dục quốc phòng,7.1,4
SH131,Pháp luật đại cương,7.6,2
VL101,Tiếng Việt thực hành,6.7,2
CS110,Kỹ thuật số,4.0,2
CS212,Kiến trúc máy tính,7.8,3
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,7.9,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,4.6,3
