Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,2.4,3
CS100,Tin đại cương,7.7,2
CS102,Công dân số,4.2,2
CS110,Kỹ thuật số,9.1,2
CS121,Ngôn ngữ lập trình,9.2,3
CS122,Lập trình hướng đối tượng,7.9,3
CS212,Kiến trúc máy tính,4.3,3
EC102,Nhập môn kinh tế học,9.2,2
GE101,Tiếng Anh sơ cấp 1,7.8,2
GE102,Tiếng Anh sơ cấp 2,7.3,2
GF101,Tiếng Pháp 1,6.3,2
GF102,Tiếng Pháp 2,0.0,2
GZ101,Tiếng Trung 1,1.7,2
IS222,Cơ sở dữ liệu,5.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.1,3
MA110,Giải tích 1,2.3,3
MA120,Đại số tuyến tính,6.1,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML115,Chủ nghĩa xã hội khoa học,7.7,2
ML202,Tư tưởng Hồ Chí Minh,6.9,2
ML204,Lịch sử Đảng,6.8,2
NA151,Khoa học môi trường,8.4,2
NW212,Mạng máy tính,5.6,2
SH131,Pháp luật đại cương,7.5,2
VL101,Tiếng Việt thực hành,8.0,2
AD213,Hát – Nhạc,8.0,3
AI130,Nhập môn trí tuệ nhân tạo,7.2,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,-1.0,3
