Mã HP,Tên HP,Điểm,Số TC
BA314A,Quản trị nguồn nhân lực,7.9,2
CS100,Tin đại cương,5.4,2
CS121,Ngôn ngữ lập trình,4.5,3
CS122,Lập trình hướng đối tượng,3.6,3
EC101,Kinh tế học đại cương,0.0,3
FN201A,Lý thuyết tài chính tiền tệ,5.0,2
FN211,Tài chính doanh nghiệp,4.4,3
GE100,Tiếng Anh cho người mới bắt đầu,5.5,2
GE101A,Tiếng Anh sơ cấp 1,5.0,2
GE102A,Tiếng Anh sơ cấp 2,6.5,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,3.4,2
GZ101,Tiếng Trung 1,5.9,2
GZ102,Tiếng Trung 2,5.6,2
IM201,Kỹ năng soạn thảo VB (MS office),7.5,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",3.9,3
ML111,Triết học Mác – Lênin,5.6,2
ML112,Kinh tế chính trị và CNXH khoa học,8.0,3
ML202,Tư tưởng Hồ Chí Minh,9.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.6,3
NA151,Khoa học môi trường,6.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,8.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG121,Giáo dục quốc phòng,7.1,4
SC201,Kỹ năng giao tiếp và thuyết trình,8.0,2
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,7.3,2
AC201,Nguyên lý kế toán,5.0,3
AC210,Kế toán doanh nghiệp,5.8,3
BA101,Quản trị học,5.4,2
BA221,Phân tích và lập dự án đầu tư,5.7,2
BK201,Ngân hàng thương mại 1,3.2,3
CS110,Kỹ thuật số,5.7,2
CS212,Kiến trúc máy tính,5.5,3
EC202,Kinh tế vi mô,6.0,2
EC203,Kinh tế vĩ mô,4.0,2
FN221,Tài chính công,7.8,2
IS222,Cơ sở dữ liệu,6.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.5,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",-1.0,4
MK201,Nguyên lý marketing,6.0,2
PE221,Tiếng Anh doanh nghiệp 1A,5.6,2
PE322,Tiếng Anh doanh nghiệp 1B,4.4,2
PE323,Tiếng Anh doanh nghiệp 2A,-1.0,2
SE302,Công nghệ phần mềm,6.2,2
