Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,7.0,2
CS121,Ngôn ngữ lập trình,8.1,3
CS212A,Kiến trúc máy tính 1,3.0,2
GE100,Tiếng Anh cho người mới bắt đầu,1.6,2
GE101A,Tiếng Anh sơ cấp 1,0.0,2
MA100A,Toán 1,2.5,2
MA110A,Giải tích 1A,3.4,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML202,Tư tưởng Hồ Chí Minh,3.7,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.9,3
NA151,Khoa học môi trường,5.0,2
PG122,GDQP: Đường lối quân sự của Đảng,5.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,5.5,2
CS110,Kỹ thuật số,5.5,2
IS222,Cơ sở dữ liệu,2.0,3
MI201,Toán rời rạc,-1.0,3
NW212,Mạng máy tính,0.7,2
