Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,6.0,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,0.0,3
GE100,Tiếng Anh cho người mới bắt đầu,8.0,2
GE101A,Tiếng Anh sơ cấp 1,8.0,2
GE102A,Tiếng Anh sơ cấp 2,6.6,2
GE201A,Tiếng Anh sơ trung cấp 1,6.0,2
GE202A,Tiếng Anh sơ trung cấp 2,7.0,2
GJ101,Tiếng Nhật 1,0.0,2
GZ101,Tiếng Trung 1,0.0,2
MA100A,Toán 1,3.5,2
MA110A,Giải tích 1A,0.0,2
MA111A,Giải tích 2A,1.5,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,0.7,3
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,0.0,3
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,-1.0,1
PG104,GDTC: Cầu lông cơ bản,0.0,1
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,0.0,2
CS110,Kỹ thuật số,0.0,2
MA231,Xác suất thống kê ứng dụng,0.0,4
MI201,Toán rời rạc,0.0,3
PE201,Tiếng Anh trong tin học 1A,0.0,2
