Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,9.0,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,9.0,3
EC102,Nhập môn kinh tế học,7.3,2
GE101,Tiếng Anh sơ cấp 1,7.4,2
GE102,Tiếng Anh sơ cấp 2,6.8,2
GE103,Tiếng Anh sơ cấp 3,5.2,2
GE201,Tiếng Anh sơ trung cấp 1,4.6,2
GE202,Tiếng Anh sơ trung cấp 2,4.9,2
GE205,Tiếng Anh sơ trung cấp 3,5.9,2
GE301,Tiếng Anh trung cấp 1,3.4,2
GE303,Tiếng Anh trung cấp 2,1.6,2
GK101,Tiếng Hàn 1,6.2,2
GK102,Tiếng Hàn 2,2.8,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),7.6,3
IS317,Hạ tầng công nghệ thông tin,8.2,2
IS325,Cơ sở dữ liệu phân tán,5.6,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.5,3
MA103,Số và cấu trúc đại số,-1.0,2
MA104,Số và cấu trúc đại số,6.5,3
ML111,Triết học Mác – Lênin,7.8,2
ML112,Kinh tế chính trị và CNXH khoa học,6.4,3
ML202,Tư tưởng Hồ Chí Minh,8.7,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,9.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,5.7,1
PG106,GDTC: Bóng bàn cơ bản,8.6,1
PG118,GDTC: Thể dục cơ bản,9.3,1
PG120,Thể dục cơ bản nâng cao,-1.0,1
PG121,Giáo dục quốc phòng,6.2,4
SC201,Kỹ năng giao tiếp và thuyết trình,8.8,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.5,3
SH131,Pháp luật đại cương,7.0,2
VL101,Tiếng Việt thực hành,6.7,2
CF212,Cấu trúc dữ liệu,9.0,3
CS110,Kỹ thuật số,6.3,2
CS212,Kiến trúc máy tính,4.0,3
CS223,Lập trình Java,5.2,3
CS315,Nguyên lý hệ điều hành,7.6,3
IP403,Thực tập ngành Hệ thống thông tin,9.0,2
IS222,Cơ sở dữ liệu,8.4,3
IS314,Hệ thống thông tin,7.2,3
IS315,Mô hình hóa quy trình nghiệp vụ,7.7,2
IS322,Hệ quản trị cơ sở dữ liệu,6.6,3
IS326,Khai phá dữ liệu,6.7,3
IS327,Kho dữ liệu,4.9,3
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
IS334,Quản lý dự án hệ thống thông tin,7.0,3
IS383,Hệ thống thông tin nâng cao,7.7,2
IS480,Kiến trúc doanh nghiệp,7.0,3
IS487,CĐTN: Hệ thống thông tin quản lý,9.0,6
IT333,Công nghệ Web,1.2,3
MA110,Giải tích 1,5.7,3
MA111,Giải tích 2,6.3,3
MA120,Đại số tuyến tính,9.2,3
MA231,Xác suất thống kê ứng dụng,7.6,4
MI201,Toán rời rạc,6.4,3
NW212,Mạng máy tính,6.3,2
SE302,Công nghệ phần mềm,7.5,2
SM201,Phương pháp luận nghiên cứu khoa học,8.0,3
