Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.5,2
CS121,Ngôn ngữ lập trình,7.5,3
CS122,Lập trình hướng đối tượng,0.8,3
CS212A,Kiến trúc máy tính 1,0.0,2
EC102,Nhập môn kinh tế học,0.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.0,2
GE101A,Tiếng Anh sơ cấp 1,5.5,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.3,2
GE202A,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,0.0,2
MA102,Toán cơ sở,5.5,3
MA110A,Giải tích 1A,0.0,2
MA120A,Đại số tuyến tính 1,1.6,2
ML111,Triết học Mác – Lênin,0.0,2
ML112,Kinh tế chính trị và CNXH khoa học,0.0,3
NA151,Khoa học môi trường,0.0,2
PG101,GDTC: Lý thuyết,0.0,1
PG104,GDTC: Cầu lông cơ bản,0.0,1
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,2.9,2
CS110,Kỹ thuật số,0.0,2
CS223,Lập trình Java,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
NW212,Mạng máy tính,0.0,2
