Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,2.8,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,2.1,3
EC102,Nhập môn kinh tế học,5.3,2
GE101,Tiếng Anh sơ cấp 1,6.8,2
GE102,Tiếng Anh sơ cấp 2,7.4,2
GE103,Tiếng Anh sơ cấp 3,5.8,2
GE201,Tiếng Anh sơ trung cấp 1,5.6,2
GE202,Tiếng Anh sơ trung cấp 2,6.7,2
GE205,Tiếng Anh sơ trung cấp 3,7.0,2
GF101,Tiếng Pháp 1,7.1,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),8.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.5,3
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,6.5,2
ML112,Kinh tế chính trị và CNXH khoa học,4.3,3
ML202,Tư tưởng Hồ Chí Minh,8.5,2
ML204,Lịch sử Đảng,5.9,2
NA151,Khoa học môi trường,2.7,2
PG100,Giáo dục thể chất,7.5,4
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,8.0,1
PG125,GDQP: Kỹ thuật bắn súng,8.0,1
SH131,Pháp luật đại cương,6.2,2
VL101,Tiếng Việt thực hành,5.0,2
AD312,Bóng đá,9.0,4
CF212,Cấu trúc dữ liệu,-1.0,3
CS223,Lập trình Java,1.2,3
MA110,Giải tích 1,4.3,3
MA111,Giải tích 2,4.4,3
MA120,Đại số tuyến tính,5.2,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,6.3,3
