Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,3.2,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,0.0,3
GE111,Tiếng Anh sơ cấp 1,5.5,2
GE112,Tiếng Anh sơ cấp 2,6.2,2
GE121,Tiếng Anh sơ trung cấp 1,4.4,2
GE222,Tiếng Anh sơ trung cấp 2,5.2,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.7,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,7.7,3
ML114,Kinh tế chính trị Mác - Lênin,6.2,2
ML115,Chủ nghĩa xã hội khoa học,7.8,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,6.0,2
NA151,Khoa học môi trường,6.3,2
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,5.8,2
VL101,Tiếng Việt thực hành,5.3,2
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,4.2,2
CS212,Kiến trúc máy tính,5.9,3
IS222,Cơ sở dữ liệu,5.8,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.0,3
MI201,Toán rời rạc,0.0,3
