Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,2.8,3
CS100,Tin đại cương,7.7,2
CS110,Kỹ thuật số,6.5,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,6.1,3
CS212,Kiến trúc máy tính,4.6,3
EC102,Nhập môn kinh tế học,5.0,2
GE101,Tiếng Anh sơ cấp 1,9.0,2
GE102,Tiếng Anh sơ cấp 2,6.5,2
GE103,Tiếng Anh sơ cấp 3,5.7,2
GE201,Tiếng Anh sơ trung cấp 1,4.5,2
GE202,Tiếng Anh sơ trung cấp 2,5.1,2
GE205,Tiếng Anh sơ trung cấp 3,5.3,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GE301,Tiếng Anh trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,5.0,2
IS222,Cơ sở dữ liệu,-1.0,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
IS330,Dữ liệu lớn,5.6,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
MA104,Số và cấu trúc đại số,-1.0,3
MA110,Giải tích 1,2.6,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,4.1,3
MA231,Xác suất thống kê ứng dụng,4.4,4
MI201,Toán rời rạc,4.2,3
ML113,Triết học Mác - Lênin,7.2,3
ML114,Kinh tế chính trị Mác - Lênin,5.6,2
ML115,Chủ nghĩa xã hội khoa học,8.0,2
ML202,Tư tưởng Hồ Chí Minh,6.4,2
NW212,Mạng máy tính,4.7,2
PG102,GDTC: Thể dục cổ truyền cơ bản,6.8,1
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,5.7,1
PG118,GDTC: Thể dục cơ bản,2.4,1
SE302,Công nghệ phần mềm,-1.0,2
SH131,Pháp luật đại cương,6.5,2
VL101,Tiếng Việt thực hành,6.2,2
AD215,Ứng dụng PowerPoint,7.5,3
CS315,Nguyên lý hệ điều hành,1.5,3
CS320,Học máy,-1.0,3
CS325,Lập trình PHP,1.2,3
IS332,Phân tích thiết kế hướng đối tượng,7.1,3
