Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.5,2
CS121,Ngôn ngữ lập trình,3.4,3
CS122,Lập trình hướng đối tượng,-1.0,3
GE111,Tiếng Anh sơ cấp 1,5.4,2
GE112,Tiếng Anh sơ cấp 2,4.4,2
GE121,Tiếng Anh sơ trung cấp 1,3.7,2
GZ101,Tiếng Trung 1,0.0,2
GZ102,Tiếng Trung 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.6,3
MA104,Số và cấu trúc đại số,3.5,3
ML113,Triết học Mác - Lênin,7.5,3
ML114,Kinh tế chính trị Mác - Lênin,5.9,2
ML115,Chủ nghĩa xã hội khoa học,6.9,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,5.7,2
NA151,Khoa học môi trường,6.5,2
PG110,GDTC: Bơi cơ bản,10.0,1
PG121,Giáo dục quốc phòng,6.6,4
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,5.7,2
CS110,Kỹ thuật số,4.2,2
CS212,Kiến trúc máy tính,5.0,3
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,0.0,3
MA120,Đại số tuyến tính,-1.0,3
