Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,5.9,4
BA314A,Quản trị nguồn nhân lực,5.0,2
EC101,Kinh tế học đại cương,0.0,3
GE100,Tiếng Anh cho người mới bắt đầu,7.7,2
GE101A,Tiếng Anh sơ cấp 1,7.4,2
GE102A,Tiếng Anh sơ cấp 2,8.7,2
GE201A,Tiếng Anh sơ trung cấp 1,6.8,2
GE202A,Tiếng Anh sơ trung cấp 2,5.2,2
GF101,Tiếng Pháp 1,5.4,2
GF102,Tiếng Pháp 2,5.6,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",2.0,3
MA102,Toán cơ sở,-1.0,3
ML111,Triết học Mác – Lênin,5.1,2
ML112,Kinh tế chính trị và CNXH khoa học,6.0,3
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,7.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,3.2,1
PG106,GDTC: Bóng bàn cơ bản,3.3,1
PG113,GDTC: Bóng rổ cơ bản,5.6,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG121,Giáo dục quốc phòng,6.7,4
SC201,Kỹ năng giao tiếp và thuyết trình,7.4,2
SH131,Pháp luật đại cương,5.4,2
VL101,Tiếng Việt thực hành,6.5,2
AC201,Nguyên lý kế toán,4.0,3
AC210,Kế toán doanh nghiệp,1.3,3
AD204,Ẩm thực Việt nam,8.5,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,5.0,3
BA101,Quản trị học,3.4,2
BA313,Quản trị chiến lược,5.3,3
CS315,Nguyên lý hệ điều hành,-1.0,3
IS222,Cơ sở dữ liệu,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,1.2,3
MA120,Đại số tuyến tính,-1.0,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",-1.0,4
MK202,Marketing căn bản,6.0,3
MK424,Quản trị bán hàng,-1.0,3
NW212,Mạng máy tính,1.5,2
PE221,Tiếng Anh doanh nghiệp 1A,5.7,2
PE322,Tiếng Anh doanh nghiệp 1B,5.4,2
PE323,Tiếng Anh doanh nghiệp 2A,-1.0,2
SM201,Phương pháp luận nghiên cứu khoa học,8.0,3
