Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CS100,Tin đại cương,6.6,2
CS110,Kỹ thuật số,4.3,2
CS121,Ngôn ngữ lập trình,2.9,3
CS122,Lập trình hướng đối tượng,2.6,3
CS212,Kiến trúc máy tính,1.4,3
GE101,Tiếng Anh sơ cấp 1,4.0,2
GE102,Tiếng Anh sơ cấp 2,3.6,2
GE103,Tiếng Anh sơ cấp 3,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA104,Số và cấu trúc đại số,5.1,3
MA110,Giải tích 1,6.4,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,7.5,3
ML114,Kinh tế chính trị Mác - Lênin,3.4,2
ML115,Chủ nghĩa xã hội khoa học,3.1,2
NA151,Khoa học môi trường,8.8,2
NW212,Mạng máy tính,-1.0,2
PG122,GDQP: Đường lối quân sự của Đảng,7.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,5.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,7.8,2
VL101,Tiếng Việt thực hành,7.6,2
CS315,Nguyên lý hệ điều hành,-1.0,3
