Mã HP,Tên HP,Điểm,Số TC
CF320,Tín hiệu và hệ thống,7.4,3
CS100,Tin đại cương,8.4,2
CS102,Công dân số,-1.0,2
CS121,Ngôn ngữ lập trình,5.2,3
CS122,Lập trình hướng đối tượng,1.2,3
EC102,Nhập môn kinh tế học,7.1,2
GE101,Tiếng Anh sơ cấp 1,4.4,2
GE102,Tiếng Anh sơ cấp 2,4.8,2
GE103,Tiếng Anh sơ cấp 3,2.8,2
GE201,Tiếng Anh sơ trung cấp 1,2.9,2
GZ101,Tiếng Trung 1,8.4,2
GZ102,Tiếng Trung 2,2.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.5,3
MA104,Số và cấu trúc đại số,3.7,3
MA300,Toán chuyên ngành truyền thông dữ liệu,3.1,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,6.0,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML202,Tư tưởng Hồ Chí Minh,2.6,2
ML204,Lịch sử Đảng,2.6,2
NA151,Khoa học môi trường,8.7,2
PG106,GDTC: Bóng bàn cơ bản,10.0,1
PG113,GDTC: Bóng rổ cơ bản,8.0,1
PG122,GDQP: Đường lối quân sự của Đảng,5.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.0,1
SH131,Pháp luật đại cương,6.9,2
VL101,Tiếng Việt thực hành,4.8,2
AD216,Kỹ năng sống,3.6,3
CF231,Lý thuyết thông tin và mã hóa,-1.0,2
CS110,Kỹ thuật số,7.4,2
CS212,Kiến trúc máy tính,1.9,3
IS222,Cơ sở dữ liệu,6.1,3
MA110,Giải tích 1,5.2,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,3.6,3
MA231,Xác suất thống kê ứng dụng,4.4,4
MI201,Toán rời rạc,5.4,3
