Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CF213,Cấu trúc dữ liệu và giải thuật,-1.0,4
CS100,Tin đại cương,5.7,2
CS102,Công dân số,-1.0,2
CS110,Kỹ thuật số,8.5,2
CS121,Ngôn ngữ lập trình,3.9,3
CS122,Lập trình hướng đối tượng,1.8,3
CS212,Kiến trúc máy tính,4.7,3
EC102,Nhập môn kinh tế học,4.1,2
GF101,Tiếng Pháp 1,5.2,2
GF102,Tiếng Pháp 2,-1.0,2
IS222,Cơ sở dữ liệu,-1.0,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA104,Số và cấu trúc đại số,5.9,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,1.6,3
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,8.6,2
ML115,Chủ nghĩa xã hội khoa học,8.4,2
ML202,Tư tưởng Hồ Chí Minh,6.8,2
ML204,Lịch sử Đảng,6.6,2
NA151,Khoa học môi trường,8.3,2
PG106,GDTC: Bóng bàn cơ bản,10.0,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,5.9,1
PG120,Thể dục cơ bản nâng cao,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,8.4,2
VL101,Tiếng Việt thực hành,4.6,2
AD214,Nâng cao chất lượng giọng hát,9.0,3
AD215,Ứng dụng PowerPoint,-1.0,3
AD241,Dẫn chương trình (MC),9.5,3
AD312,Bóng đá,8.0,4
AD314,Nhảy hiện đại,-1.0,4
CF301,Ngôn ngữ hình thức và Otomat,4.8,3
CS315,Nguyên lý hệ điều hành,1.2,3
IM206,ứng dụng Excel,-1.0,2
