Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.3,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,0.3,3
GE100,Tiếng Anh cho người mới bắt đầu,7.0,2
GE101A,Tiếng Anh sơ cấp 1,6.0,2
GE102A,Tiếng Anh sơ cấp 2,6.2,2
GE201A,Tiếng Anh sơ trung cấp 1,0.0,2
MA102,Toán cơ sở,1.4,3
ML111,Triết học Mác – Lênin,7.2,2
ML112,Kinh tế chính trị và CNXH khoa học,0.0,3
ML202,Tư tưởng Hồ Chí Minh,0.0,2
NA151,Khoa học môi trường,0.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG106,GDTC: Bóng bàn cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,0.0,1
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,0.0,2
CS110,Kỹ thuật số,0.0,2
IS222,Cơ sở dữ liệu,1.0,3
MA120A,Đại số tuyến tính 1,0.0,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",-1.0,4
